DELTA_E_AI,RECOMB_STRENGTH,INITAL_NAME,TRANSIENT_NAME,CHARGE_STATE
81664.0,0.20694807927248526,1s+2 2s+2 2p-2 2p+2(4)4,1s+1(1)1 2s+2 2p-2 2p+4,88
81325.0,0.38796783042386485,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)4,89
81389.0,0.19748020010635256,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)2,89
86381.0,2.54479997823497e-06,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)2 2p+4,89
86509.0,9.275999887107825e-07,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)0 2p+4,89
86880.0,8.824699762614687e-06,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)2 2p-2 2p+4,89
87159.0,1.4543998062984583e-05,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)0 2p-2 2p+4,89
81001.0,0.7377393307147329,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)5,90
81081.0,0.369268103866683,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)3,90
81126.0,0.10729149060515261,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(0)1,90
86096.0,4.67839999852993e-07,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)5,90
86115.0,5.9920999709258285e-06,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)3,90
86145.0,1.1855999998445885e-07,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)1,90
86256.0,8.102899944892551e-06,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+3(3)3,90
86466.0,2.4692999999965008e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)5,90
86582.0,1.059099993606699e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)3,90
86658.0,1.8311999661286663e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)1,90
86823.0,6.435099698792523e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+3(3)3,90
91318.0,4.595799999964151e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p+4,90
91632.0,1.1039999999919317e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+4,90
91675.0,6.9784999999275376e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+4,90
91956.0,4.2797999997209977e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+4,90
92275.0,7.034099999402066e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2p-2 2p+4,90
75735.0,1.0467129860306155,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)4,91
75800.0,1.0830169195489863,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)2,91
80820.0,0.4386651847437143,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)6,91
80839.0,0.30006338838190266,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)4,91
80882.0,0.14463759467840012,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)2,91
80939.0,0.08376439841317526,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(0)2,91
80993.0,0.2551237650562349,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(4)4,91
81069.0,0.027821736096152863,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(0)0,91
81095.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)6,91
81234.0,1.983799999612541e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)4,91
81288.0,2.209999895147349e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(0)2,91
81338.0,1.6109999996354577e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)2,91
81482.0,5.201199999604641e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(4)4,91
81571.0,0.00018698977821173112,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(0)0,91
86074.0,2.8825999979400997e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)4,91
86139.0,6.847299914402924e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)2,91
86270.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)6,91
86289.0,5.580399999483315e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)4,91
86380.0,2.015499993494774e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)2,91
86410.0,1.448299974346965e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)4,91
86447.0,5.678999858760071e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)0,91
86475.0,1.4873999656030488e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)2,91
86661.0,3.6099998188214405e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)4,91
86681.0,2.810599759151745e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)2,91
86882.0,6.312099999448575e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)4,91
86947.0,5.6999999999561054e-09,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)2,91
91592.0,5.770399999925312e-09,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p+4,91
91875.0,2.617099999524876e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p+4,91
92029.0,5.354399999494409e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)2 2p+4,91
92160.0,1.8045999997765185e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)0 2p+4,91
70328.0,0.5039688907317068,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-2,92
75445.0,2.0362024000902834,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)5,92
75465.0,0.41643863033977174,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)3,92
75496.0,0.02100636262317404,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)1,92
75607.0,1.7994804115363907,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+1(3)3,92
