BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 1205.1 127300000000.0 0.052291 285682721940.0 0.6917546588825702 0.03617254286762847
26 15 1205.4 9507500000.0 0.0078086 277593179610.0 0.9668844392395202 0.007550013832245717
27 15 1205.7 148650000000.0 0.18308 286696234400.0 0.6585476380544065 0.12056690157500075
28 15 1207.3 0.0 0.0 3679256725.7 1.0 0.0
29 15 1216.2 109770000000000.0 134.03 11959306350000.0 0.09824508746985068 13.167789073584087
30 15 1216.3 108800000000000.0 88.565 12347136699000.0 0.10191851855052483 9.02641359542723
31 15 1218.4 1373800000000.0 0.55815 36871488600000.0 0.9640792356316538 0.5381008253678076
32 15 1219.0 1536100000000.0 1.2475 36885844220000.0 0.9600202428277848 1.1976252529276614
33 15 1221.8 74997000000000.0 30.386 14044180894000.0 0.15772680408090095 4.792686668802256
35 15 1230.6 0.0 0.0 11388842776000.0 1.0 0.0
36 15 1230.7 265620000.0 0.00021368 11403275027000.0 0.9999767072343386 0.00021367502280183348
37 15 1230.7 528940000.0 0.00021275 11396988293000.0 0.9999535916472696 0.0002127401266229566
38 15 1231.6 218060000.0 0.0001753 48664110000000.0 0.9999955190997453 0.00017529921449818534
39 15 1236.9 8.0893 9.7123e-12 12084589566000.0 0.9999999999993305 9.712299999993497e-12
40 15 1236.9 41258000.0 3.3023e-05 12123181265000.0 0.9999965967794519 3.302288761544784e-05
41 15 1237.0 33863000.0 1.3551e-05 12066615000000.0 0.9999971936698926 1.3550961971420714e-05
42 15 1246.4 4182100000.0 0.0033219 33838052440000.0 0.99987642364469 0.003321489491705296
43 15 1246.5 16800.0 2.0016e-08 33910771322000.0 0.9999999995045822 2.0015999990083715e-08
44 15 1251.5 10951000000.0 0.008663200000000001 1276421800000.0 0.9914935285256921 0.008589506736323776
45 15 1252.7 117790000000.0 0.093092 34274319400000.0 0.9965750864935315 0.09277316795185583
46 15 1252.8 125690000000.0 0.049664 34684823900000.0 0.996389309265555 0.049484678655364524
47 15 1255.4 2941.9 3.4802e-09 14008965600000.0 0.9999999997899988 3.4801999992691537e-09
48 15 1255.6 22133000.0 1.7452e-05 14428327700000.0 0.9999984660061437 1.7451973228739222e-05
49 15 1261.7 2443400000000.0 0.95863 16990152900000.0 0.8742690020413098 0.8381004934268608
50 15 1261.7 2587700000000.0 2.0305 14623073200000.0 0.8496464993217155 1.7252072168727435
51 15 1263.1 167670000000.0 0.065708 46960996576000.0 0.9964422927236948 0.06547423017028854
52 15 1269.9 34768000.0 4.066e-05 11333812364000.0 0.9999969323743655 4.0659875270341704e-05
53 15 1270.4 7867100.0 6.1309e-06 11340776018000.0 0.9999993063001571 6.1308957469956335e-06
54 15 1270.6 321920000.0 0.00012542 11346970571000.0 0.9999716302368821 0.00012541644186430976
55 15 1280.8 5553000000.0 0.006438800000000001 23193679313000.0 0.9997606386312667 0.006437258800019001
56 15 1280.9 5480900000.0 0.0042363999999999995 23649596331000.0 0.9997682992134637 0.004235418422787917
57 15 1283.2 107600000.0 8.302e-05 48389511760000.0 0.9999977763825915 8.301981539528275e-05
58 15 1283.6 499570000.0 0.00019266 48809791980000.0 0.9999897650683056 0.00019265802813805974
59 15 1294.3 277340000000.0 0.10607 23629604280000.0 0.988399186581448 0.10483950172069419
