BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 1114.5 142630000000000.0 63.354 1500979100000.0 0.010413993642259244 0.6597681532116921
5 3 1119.8 867560000.0 0.00038352 5344128000.0 0.8603342601882129 0.0003299553954673834
6 3 1120.0 7235200000.0 0.0063958 13902700000.0 0.6577143424843528 0.004206609391661424
7 3 1120.4 0.0 0.0 19483199.3 1.0 0.0
8 3 1138.4 7992500000000.0 3.4755 25226800000000.0 0.7594019139476148 2.639301351924935
9 3 1138.7 3828000000000.0 3.3281 26436330000000.0 0.8735144640571921 2.907143487828741
10 3 1143.5 674740000.0 0.0002921 11223248900.0 0.9432895756021423 0.0002755348850333858
11 3 1143.8 13264000000.0 0.011481 13104737500.0 0.4969800886371598 0.005705828397643231
12 3 1144.2 209980000000.0 0.27254 17875111717.0 0.07844946546207486 0.021380617317033883
13 3 1146.8 100550000000000.0 43.402 3065059000000.0 0.029581211742590426 1.2838837520519097
14 3 1147.0 102410000000000.0 88.4 1840903000000.0 0.017658389011747936 1.5610015886385176
15 3 1156.0 149510000000000.0 192.07 13471700000000.0 0.0826577462377678 15.87607331988806
16 3 1156.2 148740000000000.0 127.37 13834592200000.0 0.08509689006619572 10.83879088773135
17 3 1159.1 25576000000.0 0.010922 42636290000000.0 0.9994004950463254 0.010915452206895966
18 3 1159.8 1565900000000.0 1.3367 42355139000000.0 0.9643473825835496 1.2890431462994307
19 3 1172.3 19069000000000.0 8.0522 13241235000000.0 0.40981549654467075 3.2999163412769974
