BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 1156.7 60281000000000.0 6.4495 711754700000.0 0.011669495885221922 0.07526241371173878
14 10 1156.8 59710000000000.0 19.163 768740796500.0 0.012710925961350178 0.24357947419735346
15 10 1157.3 58820000000000.0 31.448 729686661300.0 0.012253408912967579 0.3853452034950044
16 10 1160.3 22595000000.0 0.0072296999999999995 7317618530.3 0.2446331645251189 0.001768624389567252
17 10 1160.6 8385800000.0 0.0044709 5094083866.0 0.3779026523254173 0.0016895649682817082
18 10 1160.9 56702000000.0 0.042312 4916634113.0 0.07979135181710742 0.0033761316780854494
19 10 1166.7 829770000000.0 0.26405 26955276980000.0 0.970136095123493 0.2561644359173583
20 10 1181.7 130210000000000.0 95.458 12425640000000.0 0.08711455285649505 8.315780986575305
21 10 1181.7 117980000000000.0 61.778 15044342270000.0 0.11309465631083102 6.986761677570518
22 10 1181.7 85553000000000.0 26.878 21448145000000.0 0.20044780829214492 5.387636191276271
23 10 1181.8 52405000000.0 0.0054878999999999995 38015110000000.0 0.998623366931096 0.005480345175381161
24 10 1182.1 45278000000000.0 14.22 29105900000000.0 0.39129300829883884 5.564186578009489
25 10 1182.5 12630000000000.0 6.6088 35651623000000.0 0.7384097879228294 4.880002606424394
26 10 1191.6 51374000000000.0 16.006 13484776050000.0 0.2079098137714549 3.327804479225907
27 10 1193.6 3851000000.0 0.0019964 5407616690.0 0.584063135029732 0.0011660236427733569
28 10 1195.3 124680000000000.0 64.543 12361228010000.0 0.0902007971579034 5.82183005096256
29 10 1195.9 179170000000.0 0.01854 1765206910000.0 0.9078522280950148 0.016831580308881575
30 10 1196.2 295380000000.0 0.091676 1738349640000.0 0.8547594556373777 0.07836092785501222
31 10 1196.5 6492400000000.0 3.3575 1946970700000.0 0.23070093366084748 0.7745783847662954
32 10 1204.2 28591000000.0 0.008814399999999998 39256820000000.0 0.9992722234724744 0.008807985086575777
33 10 1205.3 53758000000000.0 5.5195 13925070000000.0 0.20573933776940082 1.1355782748182077
35 10 1208.2 8879800000.0 0.004547600000000001 12296574750000.0 0.9992783850475478 0.004544318383842229
36 10 1208.2 5004400000.0 0.0015377000000000001 12315992949000.0 0.9995938315821157 0.0015370754348238195
37 10 1212.5 10237000000.0 0.0031344000000000003 53066256650000.0 0.9998071274250423 0.003133795460201053
38 10 1217.4 732270000000.0 0.37218 32093045100000.0 0.9776919125446567 0.36387737601087033
39 10 1218.1 2809000000000.0 0.85615 12429929977000.0 0.8156694725784814 0.6983354189480668
40 10 1218.2 2818600000000.0 0.28634 12312450000000.0 0.8137207926746657 0.23300081177446375
41 10 1218.3 2089800000000.0 1.0614 19059403000000.0 0.9011877657990233 0.9565206946190832
42 10 1227.6 116850000000.0 0.035338999999999995 38903565580000.0 0.997005413749107 0.03523317431647969
