BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 2291.6 1077900000000.0 0.23285 1678332080000.0 0.6089226274443479 0.1417876338004164
26 15 2293.0 92730000000.0 0.040037 1273923818000.0 0.9321481425810497 0.03732041518451749
27 15 2294.4 1505400000000.0 0.9743700000000001 1579871952900.0 0.5120689446565643 0.49894461760501657
28 15 2297.9 0.0 0.0 132713049730.0 1.0 0.0
29 15 2309.3 119960000000000.0 51.43 57551653390000.0 0.3242133814367487 16.674294207291986
30 15 2309.4 126740000000000.0 81.503 49230399404000.0 0.2797652308043857 22.801705606249847
31 15 2311.7 6526400000000.0 1.3975 145685275800000.0 0.9571228687569577 1.3375792090878484
32 15 2314.8 9199800000000.0 3.9347 144948861270000.0 0.9403186513317424 3.699871797395007
33 15 2318.6 79947000000000.0 17.067999999999998 61760835260000.0 0.4358321834970073 7.43878370792692
35 15 2331.8 48.49 3.0882e-11 47894110779000.0 0.9999999999989875 3.088199999996873e-11
36 15 2331.9 2710600000.0 0.0011508 49160368710000.0 0.9999448651297266 0.0011507365507912894
37 15 2332.0 5626900000.0 0.0011944 48183885728000.0 0.9998832339300994 0.0011942605346061106
38 15 2334.4 2320800000.0 0.0009843 195909170000000.0 0.9999881538342109 0.000984288339819014
39 15 2341.3 422.08 2.6772000000000003e-10 50483684170000.0 0.9999999999916394 2.6771999999776173e-10
40 15 2341.5 691510000.0 0.00029238 52351571705000.0 0.999986791210971 0.0002923761380142637
41 15 2341.5 152440000.0 3.2226999999999995e-05 49899813699000.0 0.9999969450881073 3.222690154935443e-05
42 15 2355.5 41052000000.0 0.017254 138740759400000.0 0.9997041975487575 0.01724889622450626
43 15 2355.8 119920.0 7.5595e-08 140208298360000.0 0.9999999991447012 7.559499993534368e-08
44 15 2361.4 71983000000.0 0.030179 6594383400000.0 0.9892020636609473 0.02985312907922373
45 15 2364.6 87869000000.0 0.036789999999999996 129795249000000.0 0.9993234763581823 0.036765110695217526
46 15 2364.9 101560000000.0 0.021258000000000003 143873809790000.0 0.9992946015686701 0.021243004640146793
47 15 2367.7 23840.0 1.4953e-08 57327127100000.0 0.999999999584141 1.495299999378166e-08
48 15 2368.8 34710000.0 1.4507e-05 72777098860000.0 0.9999995230644806 1.450699308109642e-05
49 15 2376.4 2181400000000.0 0.45438999999999996 92775369000000.0 0.9770274407714946 0.4439514988121594
50 15 2377.4 2734400000000.0 1.1387 57444400100000.0 0.9545620717685264 1.086959831122821
51 15 2380.0 636960000000.0 0.13248 167876157000000.0 0.9962201162061467 0.1319792409949903
52 15 2389.8 187910000.0 0.00011677 47680200470000.0 0.9999960589666657 0.00011676953980553754
53 15 2391.9 44288000.0 1.8330999999999998e-05 47818708291000.0 0.9999990738361498 1.833098302249046e-05
54 15 2392.8 3002800000.0 0.00062122 47828090940000.0 0.9999372207540074 0.0006211810002768045
55 15 2406.7 4427500000.0 0.0018213 108769966360000.0 0.9999592964865821 0.001821225866691012
56 15 2406.8 5136200000.0 0.0031691999999999996 96280471700000.0 0.999946656617619 0.0031690309441525575
57 15 2410.8 853860000.0 0.00035066 188230257600000.0 0.9999954637679532 0.00035065840932487044
58 15 2412.1 5218500000.0 0.0010709 199122685340000.0 0.9999737932258645 0.0010708719351655784
59 15 2426.6 261450000000.0 0.053336 98630439700000.0 0.9973562038222433 0.05319499048706317
