BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 2393.7 35925000000000.0 22.288 44259659170000.0 0.5519716567749552 12.302344286200201
36 15 2395.7 7182600000000.0 2.9682 44279223477000.0 0.8604285756953377 2.5539240983789013
37 15 2396.5 14626000000000.0 3.0212 44452958640000.0 0.7524330093709993 2.2732506079116632
38 15 2409.2 6911500000000.0 2.8401 102717032770000.0 0.9369552813910199 2.6610466946786357
39 15 2409.4 53925000000.0 0.033237 88239256170000.0 0.9993892506840798 0.033216700524986764
40 15 2412.7 21740000000000.0 8.9209 168438468600000.0 0.8856863231677111 7.901119120346833
41 15 2413.6 7819700000000.0 1.6038 173247866600000.0 0.9568133589751352 1.5345372651243216
42 15 2418.9 27971000000.0 0.0057242 102080506900000.0 0.9997260658411988 0.00572263194608819
43 15 2449.7 0.0 0.0 87779567800000.0 1.0 0.0
44 15 2451.4 103400000000.0 0.041757999999999997 88012379430000.0 0.9988265438872711 0.04170899881964466
45 15 2452.7 46645000000.0 0.009414200000000001 87904132100000.0 0.999469646528001 0.009409207146343909
46 15 2472.0 104090000000.0 0.041687 170101889080000.0 0.9993884468656 0.04166150618448627
47 15 2473.1 253310000000.0 0.050702 177455474340000.0 0.9985745780607257 0.05062972825683491
48 15 2484.8 54358000000.0 0.021658 100458562600000.0 0.9994591939058629 0.02164628722161318
49 15 2485.9 50380000000.0 0.010032 93208906000000.0 0.9994597856989812 0.010026580570132178
50 15 2541.5 1462900000.0 0.00028494 131647323290000.0 0.9999888878580476 0.0002849368337062721
