BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 2220.5 67500000000000.0 3.7619 2499046000000.0 0.03570114369844412 0.1343041324791769
14 10 2221.1 65728000000000.0 10.987 3921315033000.0 0.0563008413096679 0.6185773434693213
15 10 2223.5 64291000000000.0 17.892 2693932120300.0 0.040216986642039085 0.7195623249993632
16 10 2227.3 200180000000.0 0.033366 239621605510.0 0.5448402245647364 0.018179138932826994
17 10 2228.6 79708000000.0 0.02213 144003934400.0 0.6437025131726722 0.014245136616511236
18 10 2230.0 540210000000.0 0.20985 177012643700.0 0.24680292131719264 0.05179159303841288
19 10 2236.7 1709200000000.0 0.2837 107087762110000.0 0.9842900025253288 0.2792430737164358
20 10 2258.7 415980000000.0 0.022791 151081800000000.0 0.9972542171905093 0.022728420863988897
21 10 2258.9 76866000000000.0 12.633 100635213900000.0 0.5669550742154108 7.1623434525632845
22 10 2259.0 126180000000000.0 34.562 65778680300000.0 0.3426710383567895 11.84339642768736
23 10 2259.2 144440000000000.0 55.385 50619510000000.0 0.25950803424042235 14.372852476405791
24 10 2260.4 69557000000000.0 11.425 102960220070000.0 0.5968112634102452 6.818568684462051
25 10 2262.0 19803000000000.0 5.417 138975521800000.0 0.8752791008789956 4.741386889461519
26 10 2273.5 53847000000000.0 8.7933 51043269300000.0 0.486634934209288 4.279126966982532
27 10 2277.8 34438000000.0 0.0093549 197403382250.0 0.8514587876168513 0.007965311812276882
28 10 2278.0 1158000000000.0 0.062909 9572854000000.0 0.8920868739803933 0.05612029315523257
29 10 2278.7 108490000000000.0 29.458000000000002 42098705800000.0 0.27956084472837006 8.235303364008326
30 10 2279.6 3602500000000.0 0.58673 11126045000000.0 0.7554069325924591 0.4432199095599735
31 10 2281.4 37199000000000.0 10.089 15513982300000.0 0.29431046438820063 2.9692982752125565
32 10 2291.7 308570000000.0 0.049989 156906759610000.0 0.9980372779119857 0.049890885485542255
33 10 2294.2 58462000000000.0 3.1536 54195239990000.0 0.481063090084673 1.5170805608910247
35 10 2299.1 47628000000.0 0.0076911 51238489600000.0 0.9990713276374034 0.007683957487992033
36 10 2299.1 80948000000.0 0.021786 50454507400000.0 0.9983981939143661 0.02175110305261838
37 10 2305.6 87302000000.0 0.014058000000000001 208288850900000.0 0.9995810365112082 0.014052110211274567
38 10 2311.7 1304400000000.0 0.34915 109474743000000.0 0.9882252203377309 0.34503883568091875
39 10 2313.4 2869600000000.0 0.15350999999999998 50058140000000.0 0.9457826840896664 0.14518709983460468
40 10 2313.4 2771400000000.0 0.44477 54407915400000.0 0.9515314238966911 0.4232126314065313
41 10 2314.8 1565500000000.0 0.41848 97093198000000.0 0.9841321644037914 0.41183962815969866
42 10 2327.4 108600000000.0 0.017324000000000003 156329592720000.0 0.9993057961223422 0.017311973612023458
