BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 7781.0 43448000000000.0 3.4551 212343404080000.0 0.830142845666497 2.8682265460623135
36 20 7808.0 142880000000000.0 6.7937 1214833787000000.0 0.8947642711092246 6.07876002863474
37 20 7824.6 120330000000000.0 9.5154 562335013100000.0 0.8237349246102736 7.838167301636598
38 20 7835.1 47861000000000.0 5.2916 614745249300000.0 0.9277685653424458 4.909380140366086
39 20 7844.4 31843000000000.0 1.5071 1730184156100000.0 0.9819282013391439 1.479863992238224
40 20 7853.4 54060000000000.0 0.85188 640705911000000.0 0.9221896193464795 0.7855948929288789
41 20 7854.9 50962000000000.0 4.0145 1375387772000000.0 0.9642710357582615 3.8710660730515407
42 20 7857.5 50805000000000.0 2.4005 1053908225300000.0 0.9540106890761598 2.2901026591273217
43 20 7888.2 2931600000000.0 0.22996999999999998 995586812000000.0 0.9970640501319068 0.22929481960883458
44 20 7892.4 0.0 0.0 656386381500000.0 1.0 0.0
45 20 7903.6 6030100000000.0 0.28326 1712021336400000.0 0.9964901516495714 0.28226580035625765
46 20 7915.7 1409700000.0 0.0001102 787111480780000.0 0.9999982090243762 0.00011019980263448625
47 20 7923.2 43667000000.0 0.0020461 731093836300000.0 0.9999402752562918 0.0020459777972018987
48 20 7954.7 12456000000.0 0.00096888 1997174102000000.0 0.9999937632265999 0.0009688739573149881
49 20 7956.2 50515000000.0 0.0023572 1728024781000000.0 0.9999707680561623 0.0023571310944619857
50 20 7970.3 25894000000.0 0.0020102999999999996 1112150173000000.0 0.9999767177151457 0.002010253195622757
51 20 7973.7 0.0 0.0 1193657163000000.0 1.0 0.0
52 20 7978.7 1003400000000.0 0.015562999999999999 2055852734000000.0 0.9995121681174421 0.01555540787241175
53 20 7981.3 67336000000.0 0.0031322 1736123603500000.0 0.9999612162473216 0.0031320785215298605
54 20 7999.9 28218000000.0 0.0021826000000000003 1296047281700000.0 0.9999782281201932 0.002182552480695134
55 20 8005.6 645790000000.0 0.029949 1416727405400000.0 0.9995443754671699 0.029935354500866273
56 20 8012.2 1436500000000.0 0.022188 1295437487000000.0 0.9988923364841923 0.022163423161911257
57 20 8022.2 536480000000.0 0.04138 1064141891500000.0 0.9994961107369504 0.04135914906229501
58 20 8022.5 257520000000.0 0.011917 1421063326200000.0 0.9998188164194675 0.011914840835270795
59 20 8052.9 107790000000.0 0.0049695 1753307057300000.0 0.9999385256716823 0.004969194503325425
60 20 8074.7 59863000000.0 0.00091746 1075806700000000.0 0.9999443583413977 0.0009174089510038988
61 20 8108.1 40038000.0 3.0555000000000002e-06 1222665200000000.0 0.9999999672535059 3.0554998999430877e-06
62 20 8122.8 1716200000.0 7.844199999999999e-05 1698860872500000.0 0.9999989897946947 7.844192075747544e-05
63 20 8154.6 23034000000.0 0.00034956 1232267000000000.0 0.9999813079718537 0.00034955346601464116
64 20 8163.0 21576000000.0 0.0009813 2030694409000000.0 0.9999893751759678 0.0009812895738601772
