BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 7655.5 20173000000000.0 1.3044 257411523000000.0 0.927326639893392 1.2096048690769405
26 15 7686.9 1449800000000.0 0.18672 65753565000000.0 0.9784266755094778 0.1826918288511297
27 15 7697.1 51251000000000.0 9.8882 219054153240000.0 0.8103957716466657 8.01335546919656
28 15 7713.5 7215300000000.0 0.46305 1585118780000000.0 0.9954687272660773 0.4609517941605571
29 15 7718.2 111330000000000.0 14.28 1046057989000000.0 0.9038092661595782 12.906396320758777
30 15 7723.2 0.0 0.0 90232447970000.0 1.0 0.0
31 15 7743.1 100210000000000.0 19.219 434625917700000.0 0.8126341244414894 15.618015237640986
32 15 7763.4 42956000000000.0 5.478 1500949157000000.0 0.9721770474013645 5.325585865664674
33 15 7771.0 68373000000000.0 4.3554 801604941000000.0 0.921408352122804 4.013101936835661
34 15 7776.1 43926000000.0 0.005592499999999999 1148823941000000.0 0.9999617658381249 0.005592286175449713
35 15 7785.0 199310000000.0 0.012673 798443591930000.0 0.9997504391518183 0.012669837315370993
36 15 7787.2 22788.0 4.345699999999999e-09 621602505600000.0 0.9999999999633399 4.345699999840685e-09
38 15 7799.2 364520000000.0 0.046273 1767644013200000.0 0.9997938245245116 0.046263459642222726
39 15 7820.9 294340000000.0 0.037259 854769002200000.0 0.9996557681922807 0.03724617426707619
40 15 7823.2 2077700000.0 0.00013147 684884008000000.0 0.9999969663568243 0.00013146960116693172
41 15 7826.8 159780.0 3.0316e-08 983250502000000.0 0.9999999998374982 3.0315999995073595e-08
42 15 7838.5 523080000000.0 0.066067 1144828219000000.0 0.9995433016922785 0.06603682731290376
43 15 7853.1 138430000000.0 0.017452000000000002 820736458500000.0 0.9998313628520749 0.017449056944494414
44 15 7856.0 1570900.0 2.9695e-07 1285739790000000.0 0.9999999987782131 2.969499996371904e-07
45 15 7859.6 4641200000.0 0.00058462 1261530233100000.0 0.9999963209895386 0.0005846178491769041
46 15 7860.1 24766000000.0 0.0015597000000000002 2017207445000000.0 0.9999877227818071 0.0015596808512227849
47 15 7877.5 95926.0 1.8084000000000002e-08 857625428100000.0 0.9999999998881494 1.8083999997977294e-08
48 15 7881.2 1425500000000.0 0.089533 1112391428600000.0 0.9987201666958037 0.08941841268477539
49 15 7896.6 109420000000.0 0.013719 1423581290100000.0 0.9999231434192667 0.01371794560456892
50 15 7918.0 1152100000000.0 0.14406 624993409570000.0 0.998160012357525 0.14379493138022506
51 15 7919.7 836010000.0 0.00015676 701420535920000.0 0.9999988081201494 0.00015675981316091463
52 15 7919.9 549750000000.0 0.034361 1856068652600000.0 0.9997038971502006 0.03435082560997804
53 15 7941.2 61369000.0 7.6508e-06 1287634195800000.0 0.9999999523397272 7.650799635360785e-06
54 15 7948.5 68128000000.0 0.004242899999999999 840876290700000.0 0.9999189863224192 0.004242556267067391
55 15 7968.7 3009800.0 3.7393999999999997e-07 1330890778200000.0 0.9999999977385071 3.739399991543373e-07
56 15 7980.5 1029000000.0 0.00019148 1180914190000000.0 0.9999991286419352 0.00019147983315235775
57 15 7988.1 18920000000.0 0.0011724 2134236610000000.0 0.9999911350821239 0.001172389606770282
58 15 7993.3 2583000000.0 0.00031992 1854664425000000.0 0.999998607297165 0.00031991955444650905
59 15 8044.3 61120000000.0 0.003761 1504329301100000.0 0.9999593722486246 0.0037608471990270773
