BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 7508.1 86212000000000.0 1.421 14605732704000.0 0.14487265595311796 0.20586404410938064
14 10 7510.8 70564000000000.0 3.488 229450806000000.0 0.7647982746558182 2.6676163819994936
15 10 7539.8 6620200000000.0 0.32598 119717352600000.0 0.9475991115566378 0.3088983583852328
16 10 7550.8 72725000000000.0 5.9596 25007912210000.0 0.2558801497315988 1.5249433403404362
17 10 7565.4 2225900000000.0 0.18206 38673949620000.0 0.9455768170132456 0.1721517153054315
18 10 7572.7 12262000000000.0 0.60118 1138694216300000.0 0.989346249817027 0.5947751784650004
19 10 7579.7 27431000000000.0 3.1351 106068338710000.0 0.7945233267440505 2.4909100816752727
20 10 7597.7 10489000000000.0 0.17084000000000002 1388806400700000.0 0.9925040845594484 0.1695593978061362
21 10 7615.1 36121000000000.0 1.761 1570040510000000.0 0.9775109789550367 1.7213968339398196
22 10 7621.7 117900000000000.0 9.5719 1027004680000000.0 0.8970219948790846 8.58620483278311
23 10 7632.2 126230000000000.0 6.1406 895944560000000.0 0.8765083725034205 5.382287312194504
24 10 7641.1 134640000000000.0 15.264000000000001 541832800000000.0 0.8009676072711275 12.22596955738649
25 10 7645.3 3542200000000.0 0.057336 677556500000000.0 0.9947992853311862 0.05703781182374889
26 10 7646.8 75766000000000.0 6.1309 1012432250000000.0 0.9303748191103964 5.7040349784839295
27 10 7648.1 12404000000000.0 0.60214 361828150000000.0 0.9668547985521821 0.582181948400211
28 10 7675.1 75404000000000.0 6.0791 976536100000000.0 0.9283191124665748 5.643344716595555
29 10 7683.1 1087700000000.0 0.087598 168335177490000.0 0.9935799697413108 0.08703561818939934
30 10 7687.4 39418000000000.0 1.9037 639295282400000.0 0.9419224567690588 1.7931377809512572
31 10 7700.9 57940000000000.0 4.6555 254387047000000.0 0.8144893291934464 3.79185507206009
32 10 7707.9 11291000000000.0 0.54386 1725740554000000.0 0.9934998302281848 0.5403248176679006
33 10 7713.1 675720000000.0 0.032525 1235148452800000.0 0.9994532231891297 0.032507216084226444
34 10 7724.0 52459000000000.0 0.8405 610333513100000.0 0.9208515501259363 0.7739757278808496
35 10 7727.5 460640000000.0 0.036885 616135570000000.0 0.9992529308605383 0.03685744435479096
37 10 7746.7 29933000000.0 0.0014345 1901261500000000.0 0.999984256490362 0.0014344774159354243
38 10 7758.3 177490000000.0 0.014156 1548435210000000.0 0.9998853877409116 0.014154377548860345
39 10 7765.8 1708200000000.0 0.027222000000000003 648780300000000.0 0.9973739735598708 0.027150514308246807
40 10 7769.6 1193100000000.0 0.057011 1010772845700000.0 0.9988210077571585 0.056943784473243365
41 10 7798.6 949460000000.0 0.075333 930010180000000.0 0.9989801276454906 0.07525616995591775
42 10 7816.3 177010000000.0 0.008407799999999998 1786602047200000.0 0.9999009334706008 0.008406967068434116
