BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 8758.2 56726000000000.0 4.0077 345953997920000.0 0.8591288360658289 3.4431306363010226
36 20 8785.3 143460000000000.0 6.0627 1616145717000000.0 0.9184703717349879 5.568410322717711
37 20 8810.9 110860000000000.0 7.7854 678358853400000.0 0.859531992270067 6.69180037261938
38 20 8823.1 48425000000000.0 4.7544 786921049800000.0 0.9420300125779083 4.478787491800408
39 20 8833.3 35149000000000.0 1.4773 2197597342200000.0 0.9842575041617282 1.4540436108981212
40 20 8843.7 53510000000000.0 0.74879 818333075430000.0 0.9386242759643317 0.7028324715993319
41 20 8844.9 50883000000000.0 3.5597 1809670194000000.0 0.9726516822179071 3.4623481931910836
42 20 8847.8 51372000000000.0 2.1556 1343245506000000.0 0.9631640935389205 2.0761965200324974
43 20 8885.8 0.0 0.0 854252948700000.0 1.0 0.0
44 20 8889.0 1829700000000.0 0.12737 1189365354000000.0 0.9984639795188404 0.12717435707131472
45 20 8905.8 4244100000000.0 0.17692 2144132541000000.0 0.998024508403692 0.17657049602678118
46 20 8914.1 1788700000.0 0.00012416 1130087332100000.0 0.9999984172044779 0.00012415980348010798
47 20 8922.7 57907000000.0 0.0024094 992804374900000.0 0.9999416767047599 0.002409259475852448
48 20 8954.3 41873000000.0 0.0017361 2225584144000000.0 0.9999811859675973 0.0017360673369583458
49 20 8954.9 6462500000.0 0.00044655 2432463430000000.0 0.9999973432353593 0.0004465488136217497
50 20 8972.7 21137000000.0 0.0014575999999999999 1312675410000000.0 0.9999838980303191 0.001457576529768993
51 20 8980.0 0.0 0.0 1513644768000000.0 1.0 0.0
52 20 8980.8 1179800000000.0 0.016258 2432254468000000.0 0.9995151707956469 0.01625011764679563
53 20 8988.0 67592000000.0 0.002792 2164006956900000.0 0.999968766325525 0.002791912795580866
54 20 9007.4 32245000000.0 0.0022151 1758852600100000.0 0.9999816673615162 0.0022150593913724944
55 20 9015.9 569140000000.0 0.023436000000000002 1865857316000000.0 0.9996950643309999 0.023428853527661313
56 20 9020.3 1088400000000.0 0.014933000000000002 1848225619000000.0 0.9994114574437777 0.014924211294007934
57 20 9032.6 245510000000.0 0.010091 1856589602000000.0 0.9998677803977244 0.010089665771993436
58 20 9033.4 482600000000.0 0.033056999999999996 1370170269100000.0 0.9996479050160112 0.03304536079611428
59 20 9072.4 75212000000.0 0.0030778000000000003 2136129936000000.0 0.9999647917710196 0.0030776916361128443
60 20 9098.6 36653000000.0 0.00049853 1380552876000000.0 0.9999734511965866 0.0004985167646250343
61 20 9125.2 51708000.0 3.5062999999999998e-06 1565482500000000.0 0.9999999669699289 3.5062998841866613e-06
62 20 9141.7 962140000.0 3.9074e-05 2261876087600000.0 0.9999995746276306 3.907398337900003e-05
63 20 9184.9 18520000000.0 0.00024953 1579639817700000.0 0.9999882759457802 0.0002495270744967505
64 20 9192.6 17844000000.0 0.00072067 2512111639000000.0 0.999992896862952 0.0007206648809822236
