BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 8613.7 23421000000000.0 1.346 392234646000000.0 0.9436528765448311 1.2701567718293427
26 15 8656.3 1620200000000.0 0.1853 97824627500000.0 0.9837075487913135 0.18228100879103037
27 15 8667.5 60183000000000.0 10.311 322531901720000.0 0.8427471736022686 8.689566107012991
28 15 8683.4 5945400000000.0 0.33893 1971435121000000.0 0.9969932949491213 0.33791093745710565
29 15 8689.4 111500000000000.0 12.704 1354715367000000.0 0.9239538730056156 11.737910002663341
30 15 8699.3 14590.0 2.4906e-09 163259407800000.0 0.999999999910633 2.4905999997774227e-09
31 15 8724.7 92857000000000.0 15.805 511488151900000.0 0.8463510467353516 13.376578293652232
32 15 8747.2 44817000000000.0 5.0725 1882347295000000.0 0.9767445878297574 4.954536921766444
33 15 8752.6 53677000000.0 0.0060716 1513174173000000.0 0.999964528144258 0.006071384629080676
34 15 8755.4 66295000000000.0 3.7482 1006446749000000.0 0.9382004102461756 3.5165627776847157
35 15 8764.0 253880000000.0 0.01434 1090526951100000.0 0.9997672493018199 0.014336662354988098
36 15 8770.1 32254.0 5.461600000000001e-09 774416620500000.0 0.9999999999583505 5.461599999772528e-09
37 15 8781.3 598730000000.0 0.067503 2062105588500000.0 0.9997097354212962 0.06748340627014375
39 15 8806.5 313040000000.0 0.035192 1236939682900000.0 0.9997469878269767 0.03518309599560696
40 15 8812.2 3235000000.0 0.00018172 891819199000000.0 0.9999963725962965 0.000181719340828199
41 15 8816.2 229120.0 3.8593e-08 1363043480000000.0 0.9999999998319056 3.8592999993512734e-08
42 15 8827.7 422740000000.0 0.04741 1388389612600000.0 0.9996956104262692 0.04739556889030942
43 15 8842.9 106910000000.0 0.01197 1141999733200000.0 0.9999063922790078 0.011968879515579723
44 15 8848.4 1862100.0 3.1251e-07 1454779140000000.0 0.9999999987200119 3.125099995999909e-07
45 15 8849.1 37129000000.0 0.002077 2558584080000000.0 0.9999854886687137 0.0020769698599649184
46 15 8849.7 5875700000.0 0.00065733 1573492558200000.0 0.9999962658367664 0.0006573275454224817
47 15 8873.2 1293400000000.0 0.072155 1369323400700000.0 0.9990563372641139 0.07208691001529213
48 15 8874.3 43849.0 7.3378e-09 1148168939100000.0 0.9999999999618097 7.337799999719767e-09
49 15 8897.3 100910000000.0 0.011228 1822336167800000.0 0.9999446290896793 0.01122737829541892
50 15 8915.1 755060000.0 0.00012578 914242876700000.0 0.9999991741151114 0.0001257798961201987
51 15 8922.1 960020000000.0 0.10653 814835499600000.0 0.9988232100116574 0.10640463656254186
52 15 8922.5 469890000000.0 0.026069 2350725133700000.0 0.9998001484371719 0.02606379006960863
53 15 8939.2 5198100.0 5.757000000000001e-07 1852573912400000.0 0.99999999719412 5.75699998384655e-07
54 15 8948.1 73872000000.0 0.0040866999999999995 1169503914400000.0 0.9999368387456918 0.0040864418789020186
55 15 8975.4 51085000.0 5.6349e-06 1527826259900000.0 0.9999999665636077 5.634899811589273e-06
56 15 8988.6 703080000.0 0.00011616 1491956230000000.0 0.9999995287531533 0.00011615994525996629
57 15 8996.0 11519000000.0 0.00063385 2640586819000000.0 0.9999956377311028 0.0006338472349758595
58 15 9003.0 2405300000.0 0.00026451 2336209959000000.0 0.9999989704275019 0.0002645097276677785
59 15 9065.6 45297000000.0 0.0024733 1915205490000000.0 0.9999763493113761 0.0024732415047518264
