BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 8910.3 46398000000000.0 7.733 891492572300000.0 0.9505294099649412 7.3504439272588895
36 15 8933.4 39666000000000.0 4.396 1807594792100000.0 0.9785271250439377 4.30160524169315
37 15 8937.5 36301000000000.0 2.0106 1219301690000000.0 0.9710887844625437 1.9524711100403904
38 15 8969.1 3612400000000.0 0.39875 1449343952000000.0 0.9975137587615571 0.3977586113061709
39 15 8982.0 139330000000.0 0.023036 1430584872000000.0 0.9999026157523545 0.02303375665647124
40 15 8987.3 2498000000000.0 0.13759000000000002 2373557233000000.0 0.9989486776379158 0.13744534855620086
41 15 8995.7 1907800000000.0 0.20995999999999998 2227981835000000.0 0.9991444419624831 0.20978036703444292
42 15 9048.1 9244800000.0 0.00050578 1934597446000000.0 0.9999952213542711 0.0005057775830565633
43 15 9078.1 28501.0 4.6624e-09 1542148314000000.0 0.9999999999815187 4.6623999999138325e-09
44 15 9098.3 51333000000.0 0.0055858 1785724020000000.0 0.9999712545030293 0.005585639433403021
45 15 9118.8 97995000000.0 0.005319600000000001 1987437234000000.0 0.999950695213564 0.005319337718258076
46 15 9138.4 232110000000.0 0.025146 2306960333000000.0 0.9998993972086272 0.02514347024220814
47 15 9154.8 42947000000.0 0.0023222 2593810369000000.0 0.9999834427800003 0.0023221615508237166
48 15 9178.1 43470000000.0 0.0046890000000000005 2150599034600000.0 0.9999797874356584 0.004688905223285802
49 15 9201.1 5124300000.0 0.00027569 1667761967700000.0 0.999996927448668 0.00027568915292832324
50 15 9327.0 6510000000.0 0.00034551 2310436700000000.0 0.9999971823587908 0.0003455090264767858
