BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 8455.8 89034000000000.0 1.303 16147205778000.0 0.15351797556001584 0.20003392215470062
14 10 8458.5 70960000000000.0 3.1146 326392632000000.0 0.8214180697814026 2.5583887201411564
15 10 8492.3 8476600000000.0 0.37056999999999995 202966134000000.0 0.95991065836294 0.3557140926695546
16 10 8511.0 73542000000000.0 5.3467 30705792060000.0 0.2945462100753868 1.5748502214100706
17 10 8527.3 2795000000000.0 0.20281 61418780110000.0 0.9564735171296241 0.19398239400905906
18 10 8534.0 13994000000000.0 0.6088 1414132439000000.0 0.9902011477290492 0.6028344587374451
19 10 8543.9 36233000000000.0 3.6737 177858772960000.0 0.8307594939354833 3.0519611528707853
20 10 8553.0 12663000000000.0 0.18322 1635548216900000.0 0.9923171254568836 0.1818123437262102
21 10 8578.3 34547000000000.0 1.4951 1965849235000000.0 0.9827299215047762 1.469279505641791
22 10 8586.8 117240000000000.0 8.4484 1318749760000000.0 0.9183559637639755 7.758638524263571
23 10 8599.1 126350000000000.0 5.4553 1158790910000000.0 0.9016839328537133 4.918956358896862
24 10 8610.3 2886800000000.0 0.041492 997940700000000.0 0.9971155868518801 0.04137231992965821
25 10 8614.6 9313000000000.0 0.40136 450388773000000.0 0.9797412136585342 0.39322893351398924
26 10 8614.8 126880000000000.0 12.758 648750900000000.0 0.8364170380525067 10.671008571473878
27 10 8615.5 84769000000000.0 6.0881 1128049400000000.0 0.9301057767593236 5.6625769794884375
28 10 8651.5 69111000000000.0 4.9429 1375086700000000.0 0.9521457484664323 4.7063612200947285
29 10 8655.5 1335900000000.0 0.09550399999999999 292790413910000.0 0.9954580738382736 0.09507022788385047
30 10 8665.7 41041000000000.0 1.7583 853065623900000.0 0.9540983156785223 1.6775910684575457
31 10 8681.3 58042000000000.0 4.1371 336719438370000.0 0.8529694282205986 3.528819821491439
32 10 8685.2 702360000000.0 0.030023 1650329134200000.0 0.9995745932149281 0.03001022801209179
33 10 8686.7 14412000000000.0 0.6159600000000001 2142448920000000.0 0.9933180670731425 0.611844196594373
34 10 8705.8 51247000000000.0 0.72848 776832829590000.0 0.938113454562257 0.683396889379513
35 10 8708.0 355200000000.0 0.025240000000000002 745159780000000.0 0.9995235508212055 0.02522797442272723
37 10 8730.1 17293000000.0 0.00073543 2369324480000000.0 0.9999927013484516 0.0007354246323526918
38 10 8742.6 113390000000.0 0.0080253 1983141170000000.0 0.9999428263006238 0.008024841163910397
39 10 8750.7 1520900000000.0 0.021509 830264537950000.0 0.9981715236518827 0.021469671302228346
40 10 8754.6 1033700000000.0 0.043836 1318262025900000.0 0.9992164758971724 0.04380165343742845
41 10 8794.6 821670000000.0 0.05781 1142252350500000.0 0.9992811751599073 0.05776844473599424
42 10 8813.4 173460000000.0 0.0073068 2231804981400000.0 0.9999222841955896 0.007306232146160334
