BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 2823.5 2045400000000.0 0.3586 3617881642000.0 0.6388313120733895 0.22908490850951746
26 15 2825.8 175900000000.0 0.061627 2277452492000.0 0.9283021903401234 0.05720847908409078
27 15 2827.9 3146400000000.0 1.6523 3312806389500.0 0.5128813339801703 0.8474338281354354
28 15 2832.6 0.0 0.0 416704480000.0 1.0 0.0
29 15 2844.2 119850000000000.0 41.72 96691852710000.0 0.4465273179291253 18.629119704003106
30 15 2844.7 130080000000000.0 67.907 76497124340000.0 0.37030781885653197 25.146493055090517
31 15 2846.2 8758400000000.0 1.5233 224046392100000.0 0.9623787812914183 1.4659915975412177
32 15 2851.5 14500000000000.0 5.0344 220561458800000.0 0.9383140048818586 4.723848026177229
33 15 2855.8 79400000000000.0 13.763 99503589300000.0 0.5561855393138275 7.654781577576208
34 15 2870.6 169.61 8.774500000000002e-11 75605131930000.0 0.9999999999977567 8.774499999980317e-11
36 15 2870.7 5145100000.0 0.0017744 81214376907000.0 0.9999366519295748 0.0017742875951838376
37 15 2871.0 11457000000.0 0.0019754 76500667240000.0 0.999850259026085 0.0019751042016801284
38 15 2873.9 5169000000.0 0.0017807000000000003 299882564690000.0 0.9999827635497578 0.001780669307053054
39 15 2881.9 1358.6 7.0007e-10 80265390250000.0 0.9999999999830738 7.000699999881505e-10
40 15 2882.0 173960000.0 2.988e-05 78441874510000.0 0.9999977823118673 2.9879933735478595e-05
41 15 2882.1 1772100000.0 0.00060872 85382339330000.0 0.9999792455531794 0.0006087073663531313
42 15 2897.5 82949000000.0 0.028342000000000003 214905237280000.0 0.9996141694972394 0.02833106479189076
43 15 2898.3 205600.0 1.0535e-07 219197322000000.0 0.9999999990620323 1.053499999011851e-07
44 15 2903.8 124260000000.0 0.042366 13653973800000.0 0.9909814275324607 0.04198391915884023
45 15 2907.6 66575000000.0 0.022668999999999998 192314132430000.0 0.9996539413910606 0.02266115519739395
46 15 2908.3 81400000000.0 0.013855000000000001 227303855160000.0 0.9996420172453895 0.013850040148934872
47 15 2911.3 42569.0 2.1715e-08 89730032360000.0 0.999999999525588 2.1714999989698143e-08
48 15 2913.3 1903800000.0 0.00064696 128034271620000.0 0.9999851307648502 0.0006469503801996275
49 15 2920.6 2048100000000.0 0.34713 155900391000000.0 0.9870331144854052 0.3426288050313187
50 15 2922.7 2670900000000.0 0.9047200000000001 87128999700000.0 0.9702572050868338 0.8778110985861604
51 15 2925.9 774150000000.0 0.13097999999999999 250246576100000.0 0.9969159917110128 0.13057605659430843
52 15 2936.6 301310000.0 0.00015237 75564353000000.0 0.9999960125537164 0.00015236939243280976
53 15 2940.0 74030000.0 2.4929e-05 76084713700000.0 0.9999990270065514 2.4928975744246322e-05
54 15 2941.3 5863400000.0 0.0009868 75880220700000.0 0.9999227341867809 0.0009867237540955153
55 15 2956.0 3524200000.0 0.0011803 183113145430000.0 0.9999807543463568 0.001180277284355005
56 15 2956.5 4692500000.0 0.002357 151026142020000.0 0.9999689301855815 0.002356926768447416
57 15 2961.2 1402500000.0 0.0004689 282461211290000.0 0.9999950347411249 0.0004688976717901135
58 15 2962.9 10319000000.0 0.0017241 309520432930000.0 0.9999666624400463 0.0017240425227128837
59 15 2979.1 243290000000.0 0.040426 157170703180000.0 0.9984544576051647 0.040363519903146385
