BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 2940.5 38077000000000.0 19.23 70931589329000.0 0.6506972502407182 12.512908122129012
36 15 2943.7 8388200000000.0 2.8212 71247293946000.0 0.8946675711500207 2.5240361517284384
37 15 2944.8 15846000000000.0 2.6637 71632366340000.0 0.8188580712811697 2.1811922444716516
38 15 2958.4 10977000000000.0 3.6734 174771959800000.0 0.9409041105165855 3.456317159571625
39 15 2959.1 97878000000.0 0.049122000000000006 139881473300000.0 0.9993007682983883 0.049087652340353435
40 15 2963.1 18601000000000.0 6.215 254890866900000.0 0.9319870085686998 5.792299258254469
41 15 2963.9 8487400000000.0 1.4175 264154849390000.0 0.9688698284327194 1.3733729818033797
42 15 2970.8 61472000000.0 0.010243 171495454800000.0 0.9996416816205174 0.01023932974483896
43 15 3005.3 0.0 0.0 139725223390000.0 1.0 0.0
44 15 3008.0 100840000000.0 0.033191000000000005 140461623480000.0 0.9992825965232578 0.03316718866120345
45 15 3010.0 48412000000.0 0.0079617 140152334260000.0 0.9996546951332896 0.007958950786242713
46 15 3031.2 115930000000.0 0.037864 267964230400000.0 0.9995675547200993 0.03784762589192184
47 15 3032.8 231550000000.0 0.037793 284013657900000.0 0.9991853864425343 0.0377622133098227
48 15 3045.4 69625000000.0 0.022634 161124352300000.0 0.9995680669888155 0.022624223628224853
49 15 3047.2 43430000000.0 0.0070551 145446244110000.0 0.9997014908427991 0.007052993988045032
50 15 3110.9 2527000000.0 0.00040211 209356280250000.0 0.9999879298127784 0.0004021051464570163
