BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 2675.0 148520000000000.0 27.484 7905473000000.0 0.05053827134663675 1.3889938496909646
5 3 2683.6 20827000000.0 0.0038418 416458700000.0 0.9523720990647533 0.003658823130186969
6 3 2684.9 142060000000.0 0.052385 1184759000000.0 0.8929318919912965 0.04677623716196407
7 3 2688.3 0.0 0.0 735191440.0 1.0 0.0
8 3 2714.2 18300000000000.0 3.3375 137782400000000.0 0.8827542375053177 2.9461922676739976
9 3 2716.8 890910000000.0 0.32466 166988300000000.0 0.9946931487228228 0.32293707766435165
10 3 2724.0 23654000000.0 0.0042985 1153187180000.0 0.9799004314244 0.004212102004477783
11 3 2726.2 229150000000.0 0.083216 944682920000.0 0.8047848240616731 0.06697097391911619
12 3 2728.4 100390000000000.0 18.215 34571260000000.0 0.25615691495470627 4.665898205899975
13 3 2728.6 4098800000000.0 2.2308 2048379202700.0 0.3332226270222119 0.7433530363611502
14 3 2729.5 111710000000000.0 40.521 4541096000000.0 0.03906282311523325 1.5828646554523667
15 3 2746.3 147010000000000.0 52.997 102589080000000.0 0.41101545726851235 21.782586188859348
16 3 2746.7 157800000000000.0 85.318 81608180000000.0 0.34087465181849674 29.082743543850505
17 3 2749.4 332350000000.0 0.059837 256036720000000.0 0.9987036267674568 0.05975942891488432
18 3 2754.6 16260000000000.0 5.8438 240455120000000.0 0.9366613076783323 5.473661349810638
19 3 2772.4 22960000000000.0 4.0996 83251130000000.0 0.7838267985662143 3.213376343402052
