BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 2141.5 34670000000000.0 24.041999999999998 34235804157000.0 0.4968493521822146 11.945252125164803
36 15 2143.1 6678700000000.0 3.0853 34225891986000.0 0.8367249329296366 2.5815474355678076
37 15 2143.7 14059000000000.0 3.2464 34326875260000.0 0.709439998254565 2.30312601033362
38 15 2155.9 5127100000000.0 2.3545 77148533600000.0 0.9376838588089584 2.2077766455656924
39 15 2155.9 37158000000.0 0.025596 68521213620000.0 0.9994580092974501 0.025582127205977533
40 15 2158.9 22779000000000.0 10.446 133533843000000.0 0.8542730106956087 8.923735869726329
41 15 2159.7 7458900000000.0 1.7096 136807740500000.0 0.9482978187185277 1.621209950881195
42 15 2164.4 15611000000.0 0.0035704 77299000700000.0 0.9997980847390067 0.0035696790817521494
43 15 2193.3 0.0 0.0 68065775786000.0 1.0 0.0
44 15 2194.6 103840000000.0 0.046843 68181737860000.0 0.998479327505833 0.046771767138355735
45 15 2195.6 45694000000.0 0.010302 68126915300000.0 0.9993297308043628 0.010295094886746545
46 15 2213.9 98679000000.0 0.044129 132469391160000.0 0.9992556352379506 0.04409615192741552
47 15 2214.7 261730000000.0 0.058501 137212844130000.0 0.9980961570409922 0.05838962328305508
48 15 2226.0 47257000000.0 0.021018000000000002 77711105800000.0 0.999392258294821 0.02100522648484055
49 15 2226.8 53154000000.0 0.011816 73016672000000.0 0.9992725588261289 0.011807404555089539
50 15 2278.4 1053900000.0 0.00022898 102136234430000.0 0.999989681535341 0.00022897763727796236
