BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 5011.0 78405000000000.0 1.9363 9264538000000.0 0.10567567950455037 0.20461981822466088
14 10 5013.1 69891000000000.0 5.176 61039425000000.0 0.4661974098075371 2.413037793163812
15 10 5028.8 70002000000000.0 8.6133 12324373461000.0 0.14970140117781763 1.2894230787648968
16 10 5029.9 2396900000000.0 0.17692 16793350202000.0 0.8750980328672215 0.15482234397486883
17 10 5038.9 878460000000.0 0.10787000000000001 7012904753000.0 0.8886808521091307 0.09586200351701193
18 10 5046.3 8394100000000.0 1.441 14359756247000.0 0.6310911034648587 0.9094022800928615
19 10 5047.5 6859400000000.0 0.50454 539229640500000.0 0.9874390447504321 0.498202495638383
20 10 5078.2 4354900000000.0 0.10613 738929412600000.0 0.9941410037502788 0.1055081847280171
21 10 5082.9 43448000000000.0 3.1735 688872150000000.0 0.9406707571818146 2.9852186479164886
22 10 5085.4 121230000000000.0 14.751 426374891000000.0 0.7786177552603343 11.48539050784519
23 10 5090.5 149340000000000.0 25.414 266801500000000.0 0.6411316823724622 16.293720575813754
24 10 5090.9 117700000000000.0 8.5833 406206195000000.0 0.7753414616523098 6.65498836780027
25 10 5098.9 45740000000000.0 5.5507 631563840000000.0 0.932467531853946 5.1758475290616985
26 10 5107.5 27844000000000.0 2.024 183607192000000.0 0.8683194937959962 1.7574786554430963
27 10 5108.9 4359600000000.0 0.1056 156320530000000.0 0.9728678337514415 0.10273484324415222
28 10 5118.8 94887000000000.0 11.47 272309200000000.0 0.7415904630821343 8.50604261155208
29 10 5124.1 28921000000000.0 2.0955 208912685420000.0 0.8783982178599837 1.840683465525596
30 10 5125.7 405860000000.0 0.048995 18622158638000.0 0.9786704013843315 0.04794995631582532
31 10 5132.2 56186000000000.0 6.774 102287643600000.0 0.6454552395992238 4.372313793045142
32 10 5142.5 4075100000000.0 0.2942 808869760000000.0 0.9949872368957472 0.29272524509472886
33 10 5151.1 56296000000000.0 1.3525 273123325400000.0 0.8291053509637234 1.121364987178436
34 10 5155.5 466060000000.0 0.033563 409812608100000.0 0.9988640403797782 0.0335248737872665
35 10 5157.8 534750000000.0 0.064153 284796655700000.0 0.9981258635070749 0.06403276852156937
37 10 5169.2 126070000000.0 0.0090545 947577065100000.0 0.9998669731107446 0.009053295508031236
38 10 5178.3 580840000000.0 0.069406 651997524000000.0 0.9991099306504131 0.06934422384672256
39 10 5183.6 2288600000000.0 0.054638 279084900000000.0 0.9918663271416818 0.054193592382367206
40 10 5185.9 1814300000000.0 0.12989 393146758000000.0 0.9954063825705065 0.1292933350320831
41 10 5195.5 1322100000000.0 0.15746 461344196000000.0 0.9971424328691537 0.15701004747957692
42 10 5211.0 138860000000.0 0.009893299999999999 828541616900000.0 0.9998324323984082 0.009891642203447171
