BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 4119.7 4753900000000.0 0.71403 8080539747000.0 0.6295981676090532 0.4495519796178923
36 20 4144.8 140500000000000.0 12.585 217756088500000.0 0.6078224362124135 7.649445359733225
37 20 4145.6 130310000000000.0 19.45 164144474000000.0 0.5574528101753347 10.842457157910259
38 20 4147.9 43872000000000.0 9.1627 159345737310000.0 0.7841133329170222 7.184595235518799
39 20 4154.2 10095000000000.0 0.9021600000000001 477721740590000.0 0.979305753247028 0.8834904783493388
40 20 4158.0 53962000000000.0 1.606 168349881000000.0 0.7572689333684329 1.2161739069897033
41 20 4158.9 41065000000000.0 6.1097 237545978900000.0 0.8526081055307616 5.209179742361294
42 20 4160.5 37455000000000.0 3.3423 307720484800000.0 0.8914899764051841 2.979626948139047
43 20 4169.2 23295000000000.0 3.4573 410446296800000.0 0.9462928704924737 3.2716183411536295
44 20 4178.4 24963000000000.0 2.218 491265192760000.0 0.9516434779229395 2.1107452340330797
45 20 4183.4 0.0 0.0 161492022930000.0 1.0 0.0
46 20 4189.9 174560000.0 2.578e-05 162836354800000.0 0.9999989280046641 2.577997236396024e-05
47 20 4192.9 5951900000.0 0.00052701 163686028810000.0 0.9999636396360152 0.0005269908377245763
48 20 4223.7 58765000000.0 0.008609 539782532100000.0 0.999891143933753 0.00860806285812568
49 20 4226.2 123230000000.0 0.010826 420371327710000.0 0.9997069403212467 0.010822827335917818
50 20 4227.6 0.0 0.0 318656309800000.0 1.0 0.0
51 20 4229.5 42900000000.0 0.0062762 401976332600000.0 0.999893288687403 0.006275530258459879
52 20 4232.0 31918000000.0 0.0028001 536464477300000.0 0.999940506590017 0.0027999334125027066
53 20 4233.0 301050000000.0 0.0088012 638621558500000.0 0.9995288161727337 0.008797053016899464
54 20 4246.8 772580000000.0 0.06754 325779152660000.0 0.9976341267776876 0.06738020892256502
55 20 4250.4 1319800000.0 0.00019213 261222767600000.0 0.9999949476328422 0.00019212902928869796
56 20 4257.3 743580000000.0 0.10807 264124390600000.0 0.9971926390408188 0.10776660850114128
57 20 4258.0 2361000000000.0 0.068621 214850534000000.0 0.9891304114633249 0.06787511796502482
58 20 4259.5 439240000000.0 0.038285 228382616130000.0 0.9980804281224323 0.03821150919066732
59 20 4271.7 264580000000.0 0.022994999999999998 615484792290000.0 0.999570312188844 0.022985119328782465
60 20 4277.9 537000000000.0 0.015535 303800124260000.0 0.9982355093835308 0.01550758863827315
61 20 4317.2 18533000.0 2.6562e-06 316840250000000.0 0.9999999415068038 2.6561998446303724e-06
62 20 4323.2 17566000000.0 0.0015085 346031554690000.0 0.9999492384203579 0.0015084234261571099
63 20 4329.1 49053000000.0 0.0014022 318017189870000.0 0.9998457774092674 0.0014019837490832747
64 20 4340.1 31727000000.0 0.0027140000000000003 623298271420000.0 0.9999491007972015 0.002713861859563605
