BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 4055.2 5633800000000.0 0.68772 17133841250000.0 0.7525523202804331 0.5175452817032594
26 15 4061.0 464500000000.0 0.11324000000000001 7190516960000.0 0.939320839858727 0.10636869190560226
27 15 4065.4 10752000000000.0 3.9278 15502282541000.0 0.5904668130538651 2.319235548312971
28 15 4073.7 0.0 0.0 2990622367300.0 1.0 0.0
29 15 4083.7 116330000000000.0 28.204 237706238020000.0 0.6714178168579784 18.936668106662424
30 15 4084.3 11172000000000.0 1.354 466412120520000.0 0.9766072624277462 1.3223262333271684
31 15 4086.4 130100000000000.0 47.281000000000006 157383432160000.0 0.5474521817744532 25.884086606477926
32 15 4096.7 26081000000000.0 6.3029 446033682100000.0 0.9447570664737859 5.9547093142776255
33 15 4101.9 76803000000000.0 9.2684 221006780100000.0 0.7421071934769546 6.878146312021806
34 15 4118.9 12699000000.0 0.0030523000000000004 216742508160000.0 0.9999414131721844 0.003052121175425459
35 15 4119.3 1372.3 4.9472e-10 165600953140000.0 0.9999999999917132 4.947199999959004e-10
36 15 4120.2 36573000000.0 0.004394100000000001 171828407160000.0 0.9997871992306638 0.004393164932139461
38 15 4124.5 22865000000.0 0.005488399999999999 591344124900000.0 0.9999613353460871 0.0054881877929134635
39 15 4135.3 48798000.0 5.8413e-06 171057330640000.0 0.9999997147273029 5.8412983336365945e-06
40 15 4135.7 9222.2 3.3115e-09 183855338500000.0 0.99999999994984 3.311499999833895e-09
41 15 4136.1 10342000000.0 0.0024755 199509924510000.0 0.9999481656666719 0.002475371684107846
42 15 4152.8 264210000000.0 0.062987 432081379800000.0 0.9993888916500288 0.06294850811836036
43 15 4155.6 473800.0 1.6932e-07 461961608000000.0 0.9999999989743736 1.6931999982634094e-07
44 15 4160.4 233280000000.0 0.055512 67554180500000.0 0.9965586555643281 0.05532096408768698
45 15 4165.2 20408000000.0 0.004850800000000001 376114500800000.0 0.9999457428717129 0.0048505368095221055
46 15 4166.8 30566000000.0 0.0036312 504626311300000.0 0.9999394321144229 0.003630980065893892
47 15 4170.8 99988.0 3.5600999999999996e-08 195036716400000.0 0.9999999994873375 3.56009999817487e-08
48 15 4175.8 31700000000.0 0.007515600000000001 330665355400000.0 0.9999041418740132 0.007514879568668334
49 15 4180.5 1866400000000.0 0.221 349068683000000.0 0.9946816374582874 0.21982464187828152
50 15 4187.2 2319000000000.0 0.54832 172488383200000.0 0.9867339699413794 0.5410459703982572
51 15 4191.3 852000000000.0 0.10063 509772979900000.0 0.9983314564826679 0.10046209446585086
52 15 4202.8 586040000.0 0.00020708 168263791000000.0 0.999996517147537 0.00020707927877091197
53 15 4210.1 160470000.0 3.7734e-05 176241125670000.0 0.9999990894868989 3.773396564269864e-05
54 15 4212.7 17326000000.0 0.002036 170234694300000.0 0.9998982332193799 0.0020357928028346575
55 15 4227.5 1648800000.0 0.00038612 444444997900000.0 0.9999962902183822 0.00038611856757912174
56 15 4230.1 3512200000.0 0.001233 324731129520000.0 0.9999891843999722 0.0012329866643651657
57 15 4236.7 2373000000.0 0.00055453 554376598520000.0 0.999995719534611 0.0005545276263535278
58 15 4238.3 26340000000.0 0.0030764 645818486800000.0 0.999959216209673 0.003076274532747438
59 15 4259.8 186910000000.0 0.021721 360542472910000.0 0.9994818553495914 0.021709745380048478
