BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 4205.7 41304000000000.0 14.585 160536811070000.0 0.7953634858032975 11.600376440441096
36 15 4212.8 12466000000000.0 2.9295 168415361410000.0 0.9310818986388344 2.7276044220624653
37 15 4214.7 19408000000000.0 2.2794 166918105890000.0 0.8958385358439371 2.0419743586026704
38 15 4228.9 17336000000000.0 4.0584 424631918910000.0 0.9607754335591715 3.8992110195565415
39 15 4231.7 195240000000.0 0.06851499999999999 305168405800000.0 0.9993606311599781 0.06847119364392588
40 15 4237.1 9143100000000.0 1.0682 538979080800000.0 0.9833192300544098 1.0503816015441205
41 15 4237.7 11285000000000.0 2.6364 510455340000000.0 0.9783704668111345 2.5793758987008752
42 15 4250.3 89376000000.0 0.010409 409696276180000.0 0.9997818957312816 0.01040672975266691
43 15 4290.5 0.0 0.0 308859606700000.0 1.0 0.0
44 15 4296.0 90513000000.0 0.020859 314377996600000.0 0.999712171498141 0.02085299618527972
45 15 4300.5 53213000000.0 0.0061251000000000005 312584413500000.0 0.9998297933598214 0.006124057467308242
46 15 4324.2 145290000000.0 0.033264999999999996 573875496400000.0 0.999746890699009 0.03325658031910253
47 15 4327.1 179960000000.0 0.020587 629677485800000.0 0.9997142845556563 0.020581117976147298
48 15 4341.6 95303000000.0 0.021733000000000002 367109223900000.0 0.9997404634392594 0.021727359491925426
49 15 4346.0 28136000000.0 0.0032046999999999996 313361712900000.0 0.9999102204487518 0.0032044122834721145
50 15 4426.2 5178600000.0 0.00057917 462402792850000.0 0.9999888007986026 0.0005791635137585268
