BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 3871.8 150690000000000.0 19.265 15208996000000.0 0.09167623895686505 1.7661427435040054
5 3 3882.4 59794000000.0 0.007623899999999999 2342340000000.0 0.9751079664997873 0.007434125625797728
6 3 3885.2 465190000000.0 0.11854 7204067000000.0 0.9393435374508899 0.1113497829294285
7 3 3893.0 0.0 0.0 3373116620.0 1.0 0.0
8 3 3920.4 30639000000000.0 3.8687 257293900000000.0 0.8935897912326101 3.4570308253415987
9 3 3926.6 13993000000.0 0.0035280999999999997 358120800000000.0 0.9999609281190392 0.003527962150496782
10 3 3934.4 111750000000.0 0.01406 8450586960000.0 0.9869486565966682 0.013876498111749154
11 3 3939.9 582590000000.0 0.14639000000000002 4940984210000.0 0.8945266275330807 0.13094975300456768
12 3 3940.1 93407000000000.0 11.735 108265100000000.0 0.5368372719875482 6.299785386773878
13 3 3942.4 114670000000000.0 28.796999999999997 2429200000000.0 0.02074480440515392 0.5973881324552174
14 3 3944.6 13480000000000.0 5.075 14182930401000.0 0.5127052772575134 2.6019792820818806
15 3 3964.2 137950000000000.0 34.451 250270340000000.0 0.644660555394908 22.209200793909975
16 3 3966.2 781930000000.0 0.097592 531560400000000.0 0.9985311519375136 0.09744865217988583
17 3 3967.1 152120000000000.0 56.943999999999996 164740400000000.0 0.5199147637256029 29.606026305590728
18 3 3978.7 29460000000000.0 7.3307 478009070000000.0 0.9419472008412256 6.9051323452067725
19 3 3998.4 24773000000000.0 3.067 185187140000000.0 0.8820109378856387 2.705127546495254
