BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 3954.7 74764000000000.0 2.3396 6615923000000.0 0.08129674686470273 0.1902018689646585
14 10 3956.2 69245000000000.0 6.4981 26436254000000.0 0.27629502013006646 1.795392670307185
15 10 3965.3 68403000000000.0 10.674000000000001 8036477385000.0 0.10513516915510764 1.122212795561619
16 10 3968.4 1213200000000.0 0.1135 4979286364800.0 0.804085156021303 0.0912636652084179
17 10 3973.5 464150000000.0 0.07228 2379859300000.0 0.836797298799269 0.06048370875721116
18 10 3978.2 3841900000000.0 0.8366 4069119254000.0 0.5143609342048505 0.43031435755577796
19 10 3982.3 4531300000000.0 0.42245 342575843460000.0 0.9869455293981232 0.4169351388942371
20 10 4011.3 2304200000000.0 0.071088 479967680500000.0 0.9952221970776918 0.07074835554585895
21 10 4013.5 50423000000000.0 4.6642 407919600000000.0 0.8899884060525903 4.151083923510492
22 10 4014.7 123410000000000.0 19.021 249970667000000.0 0.6694794055847567 12.734167773627657
23 10 4016.9 150760000000000.0 32.512 167618200000000.0 0.5264751167008294 17.116758994177363
24 10 4018.4 107250000000000.0 9.9085 268074870600000.0 0.7142475535166414 7.0771218840196415
25 10 4023.5 35390000000000.0 5.4425 422672001000000.0 0.9227397166262652 5.022010907738448
26 10 4034.5 38616000000000.0 3.5535 131135960000000.0 0.7725151450386788 2.745132567894945
27 10 4037.5 3587000000000.0 0.10995 64897760000000.0 0.9476233836549913 0.1041911910328663
28 10 4042.7 99109000000000.0 15.17 144613221670000.0 0.5933526318572886 9.001159425275068
29 10 4045.4 19728000000000.0 1.8106 95016324740000.0 0.8280699281232269 1.4993034118599147
30 10 4046.3 205350000000.0 0.031403 4854970766000.0 0.959419568542031 0.0301286527109254
31 10 4051.1 53619000000000.0 8.1899 61249566300000.0 0.5332143359397008 4.366972089912555
32 10 4062.2 2031300000000.0 0.18565 509274196500000.0 0.9960272283128097 0.18491245493627312
33 10 4068.0 57952000000000.0 1.763 171636932000000.0 0.7475836509401071 1.3179899766074088
34 10 4074.2 282640000000.0 0.025756 206197202740000.0 0.998631149674228 0.025720743891009416
35 10 4074.8 379050000000.0 0.057559000000000006 172576181000000.0 0.9978083923925956 0.057432853257725416
37 10 4083.9 181110000000.0 0.016464 632469901000000.0 0.9997137284271249 0.016459286824824185
38 10 4091.9 888850000000.0 0.13441 386720481700000.0 0.9977068405548917 0.134101776438983
39 10 4095.9 2547600000000.0 0.076973 169778900000000.0 0.9852164350810816 0.07583506465749609
40 10 4097.1 2178800000000.0 0.19743 221704401000000.0 0.9902681398592296 0.19550863885240768
41 10 4102.4 1448400000000.0 0.21846999999999997 301711822000000.0 0.9952223283435911 0.21742622207322432
42 10 4117.2 114710000000.0 0.010343999999999999 517345217600000.0 0.9997783209986287 0.010341706952409815
