BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 6006.4 19808000000000.0 2.0406 61403387467000.0 0.7560933187103973 1.5428840261604366
36 20 6033.2 142640000000000.0 8.7776 626817668620000.0 0.8146226806007136 7.1504320412408235
37 20 6038.9 134010000000000.0 13.731 357474360300000.0 0.7273361864084529 9.987053175574466
38 20 6045.5 46425000000000.0 6.6525 356531522100000.0 0.8847890592313606 5.886059216536626
39 20 6053.3 22911000000000.0 1.4052 1027729654700000.0 0.9781933052966221 1.3745572326028133
40 20 6059.8 54637000000000.0 1.1158 373515054000000.0 0.8723887939119872 0.9734114162469952
41 20 6061.5 49355000000000.0 5.0383 712740067000000.0 0.9352377385221942 4.712008297996371
42 20 6063.5 47268000000000.0 2.8942 626471208590000.0 0.929842290017643 2.6911495557690626
43 20 6080.0 7892100000000.0 0.80318 696353908000000.0 0.988793546700516 0.7941792008389205
44 20 6092.5 0.0 0.0 369863617300000.0 1.0 0.0
45 20 6092.6 12076000000000.0 0.73588 1042530127700000.0 0.9885492795055756 0.7274536438025629
46 20 6106.9 656750000.0 6.654399999999999e-05 391213242750000.0 0.9999983212508532 6.654388828931677e-05
47 20 6112.3 20645000000.0 0.001254 387717684470000.0 0.9999467553284499 0.001253933231181876
48 20 6143.8 29549000000.0 0.0029760000000000003 1204450414300000.0 0.9999754674208784 0.0029759269910445345
49 20 6147.0 73584000000.0 0.004444300000000001 981489214300000.0 0.9999250338336707 0.004443966827866984
50 20 6153.9 0.0 0.0 703497979600000.0 1.0 0.0
51 20 6155.1 36069000000.0 0.0036260999999999997 778950117000000.0 0.9999536975101122 0.0036259321025414177
52 20 6160.5 48332000000.0 0.0029127 1086921094400000.0 0.9999555350879002 0.002912570487050527
53 20 6161.5 599080000000.0 0.012032 1342962188000000.0 0.9995541103972938 0.012026635056300238
54 20 6178.7 15914000000.0 0.0015937999999999998 650807229200000.0 0.9999755478885988 0.0015937610282248486
55 20 6179.2 767360000000.0 0.046105 771503530320000.0 0.999006359025546 0.0460591881828728
56 20 6189.4 2100600000000.0 0.042001 598007618000000.0 0.9964996313381598 0.04185398101583405
57 20 6193.4 640950000000.0 0.064036 609224291430000.0 0.9989490301193472 0.06396870009272251
58 20 6195.4 300860000000.0 0.018029 709173192430000.0 0.9995759393892285 0.0180213546112484
59 20 6213.6 189430000000.0 0.011318 1168124979800000.0 0.9998378604266017 0.011316164904308278
60 20 6227.4 164030000000.0 0.0032595999999999997 633906281000000.0 0.9997413062918191 0.0032587567619888134
61 20 6267.8 22247000.0 2.1963e-06 708817170000000.0 0.9999999686139103 2.1962999310667313e-06
62 20 6278.6 5620800000.0 0.00033237 887688953700000.0 0.9999936680924256 0.0003323678954638795
63 20 6294.6 33836000000.0 0.00066523 712979100000000.0 0.9999525450405012 0.0006651984315372926
64 20 6304.3 28432000000.0 0.0016744 1276638408800000.0 0.9999777295069541 0.0016743627102864438
