BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 5683.9 153120000000000.0 13.335 29030110000000.0 0.1593746498423745 2.125260955648064
5 3 5697.3 142520000000.0 0.012383 12462870000000.0 0.9886937254618857 0.012242994402394531
6 3 5702.7 1446500000000.0 0.25113 41848840000000.0 0.9665899378547437 0.2427397310934618
7 3 5721.6 0.0 0.0 16362736100.0 1.0 0.0
8 3 5744.9 50806000000000.0 4.3778 450055100000000.0 0.8985626953261093 3.9337277675986413
9 3 5760.6 843760000000.0 0.14501 759901000000000.0 0.9988908763564799 0.14484916598045314
10 3 5765.9 484260000000.0 0.041574 61268457800000.0 0.9921580779396887 0.04124797993226462
11 3 5776.9 80443000000000.0 6.893 340264200000000.0 0.8087910071422595 5.574996412231594
12 3 5780.5 1216900000000.0 0.20843000000000003 23743448000000.0 0.9512466733236251 0.1982683441208432
13 3 5781.5 115370000000000.0 19.756 645172631400.0 0.005561105644774788 0.1098652031181707
14 3 5788.7 37262000000000.0 9.5592 84664635050000.0 0.6943899912868136 6.637812804708909
15 3 5808.8 1363600000000.0 0.1162 1095619900000000.0 0.9987569548675983 0.11605555815561493
16 3 5809.6 129210000000000.0 22.019000000000002 611198550000000.0 0.8254882388918928 18.17642553216059
17 3 5821.5 131360000000000.0 33.508 307055700000000.0 0.7003756936624305 23.46818874324072
18 3 5838.6 41828000000000.0 7.0925 966699235000000.0 0.9585256614314437 6.798343253702515
19 3 5859.7 26871000000000.0 2.2701 426925836000000.0 0.9407862773199238 2.135678928143959
