BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 5786.1 80912000000000.0 1.7305 11100390000000.0 0.12064016596025817 0.20876780719422675
14 10 5788.5 70115000000000.0 4.497 99775531000000.0 0.5872930669691061 2.64105692216007
15 10 5808.9 3530300000000.0 0.22563000000000002 34525708843000.0 0.9072340976542168 0.20469922945372096
16 10 5810.5 70967000000000.0 7.5574 15893524760000.0 0.18297753558264365 1.3828344274122712
17 10 5821.9 1254300000000.0 0.13330999999999998 13159702165000.0 0.9129804487579665 0.12170942362392449
18 10 5830.2 8624600000000.0 0.5492100000000001 705641788000000.0 0.9879252332954522 0.5425784173781955
19 10 5831.5 13198000000000.0 1.9606 30192505570000.0 0.6958320760123837 1.3642483682298794
20 10 5860.6 6181200000000.0 0.13052 940081528100000.0 0.9934677761086382 0.12966741413769947
21 10 5868.1 40336000000000.0 2.552 933199100000000.0 0.9585674928412956 2.4462642417309866
22 10 5871.8 119920000000000.0 12.637 585846080000000.0 0.8300853449913603 10.48978850465582
23 10 5878.8 122140000000000.0 7.7135 530745150000000.0 0.8129226863254586 6.270479140971425
24 10 5880.0 146220000000000.0 21.543000000000003 348583700000000.0 0.7044888710411826 15.1768037488402
25 10 5889.1 54688000000000.0 5.7461 774573960000000.0 0.9340522022739353 5.367157359486259
26 10 5895.3 21656000000000.0 1.3638 229621315700000.0 0.9138163349935849 1.2462627176642511
27 10 5895.4 4408400000000.0 0.09254 267635360000000.0 0.9837952541164701 0.09104041281593814
28 10 5910.1 89830000000000.0 9.405 423331400000000.0 0.8249478624074219 7.758634645941802
29 10 5917.6 33576000000000.0 2.1065 320059983640000.0 0.9050549108311889 1.9064981696658996
30 10 5918.7 597960000000.0 0.062513 42050485265000.0 0.9859793247729308 0.06163652552953022
31 10 5927.5 57108000000000.0 5.9615 140395438370000.0 0.7108506035575203 4.237735873108157
32 10 5936.9 6027800000000.0 0.37694 1063914537000000.0 0.9943662384489791 0.37481640992095816
33 10 5947.7 55023000000000.0 1.1449 362650198500000.0 0.8682630338800635 0.9940743474892848
34 10 5949.0 564330000000.0 0.035219 620051664400000.0 0.9990906937541215 0.03518697514332641
35 10 5953.6 573300000000.0 0.059584000000000005 382091071000000.0 0.9985018202805194 0.05949473245959447
37 10 5967.3 82998000000.0 0.0051638000000000005 1205032326800000.0 0.9999311285830559 0.005163444361777184
38 10 5977.2 406600000000.0 0.042092000000000004 890795489000000.0 0.999543762290261 0.04207279604232167
39 10 5983.3 2098100000000.0 0.043394999999999996 377050700000000.0 0.9944662886972081 0.04315486459801534
40 10 5986.2 1584900000000.0 0.09829299999999999 553460130790000.0 0.9971445560052232 0.0980123298434214
41 10 6000.4 1208300000000.0 0.12460999999999998 593074758000000.0 0.9979667937967701 0.1243566421750155
42 10 6016.5 157830000000.0 0.0097393 1093527334100000.0 0.9998556897312126 0.009737894518999198
