BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 4830.5 8846300000000.0 1.1332 19278480783000.0 0.6854624372629017 0.7767660339063202
36 20 4856.7 142340000000000.0 10.880999999999998 343670668900000.0 0.7071257708762615 7.6942355129046005
37 20 4858.7 134760000000000.0 17.162 230833800200000.0 0.6313941868645506 10.835987034969417
38 20 4862.4 45016000000000.0 8.02 224281930700000.0 0.8328394136450006 6.679372097432904
39 20 4869.3 14774000000000.0 1.1265 662479437300000.0 0.9781854189490726 1.1019258744461304
40 20 4874.2 54458000000000.0 1.3827 236080846000000.0 0.8125620695829431 1.1235295736123354
41 20 4875.5 45101000000000.0 5.724 381902648000000.0 0.8943779515438707 5.119419394637116
42 20 4877.2 41958000000000.0 3.1939 412615300800000.0 0.9076980545796278 2.8990968165218733
43 20 4888.0 15927000000000.0 2.0162 520413417700000.0 0.9703043077225093 1.9563275452301232
44 20 4898.5 19281000000000.0 1.4613 678936366270000.0 0.9723853903792131 1.420946770961144
45 20 4902.4 0.0 0.0 229009391900000.0 1.0 0.0
46 20 4911.5 309630000.0 3.9008e-05 233324904300000.0 0.9999986729681084 3.900794823513998e-05
47 20 4915.4 10138000000.0 0.0007657 234274353100000.0 0.9999567278228602 0.0007656668664939641
48 20 4946.9 46334000000.0 0.005795600000000001 760533274800000.0 0.9999390806702363 0.005795246935932422
49 20 4949.8 100860000000.0 0.0075650000000000005 602187661000000.0 0.9998325387310512 0.007563733155500403
50 20 4952.7 0.0 0.0 446528596600000.0 1.0 0.0
51 20 4954.7 41254000000.0 0.005152 541842191400000.0 0.9999238692372867 0.005151607774310502
52 20 4958.1 33345000000.0 0.0024969000000000002 729068972400000.0 0.9999542656782124 0.002496785805971929
53 20 4959.3 389490000000.0 0.0097192 884191488500000.0 0.9995596898311555 0.009714920537406968
54 20 4974.1 795220000000.0 0.059354 465505101260000.0 0.9982946183741602 0.0592527787789799
55 20 4976.5 6293000000.0 0.00078246 377024710200000.0 0.9999833090649135 0.0007824469400109323
56 20 4985.4 2354200000000.0 0.05844 327126412000000.0 0.9928548147773867 0.05802243537559048
57 20 4986.2 708440000000.0 0.087916 377833188900000.0 0.9981285017395348 0.08775146535893294
58 20 4988.5 370250000000.0 0.027556 366043574110000.0 0.9989895304826467 0.027528155501979814
59 20 5002.2 242900000000.0 0.018028 820675628630000.0 0.9997041119288593 0.018022665729853476
60 20 5011.1 343310000000.0 0.008478399999999999 413497359140000.0 0.9991704295261424 0.008471366569694445
61 20 5051.8 17824000.0 2.1832e-06 445881680000000.0 0.999999960025271 2.1831999127271717e-06
62 20 5059.6 11863000000.0 0.0008705 511718044800000.0 0.999976817848988 0.0008704798199375439
63 20 5068.6 42936000000.0 0.0010482999999999998 447875000000000.0 0.9999041431553658 0.0010481995132697699
64 20 5079.2 31293000000.0 0.0022873 851234351010000.0 0.999963239442094 0.0022872159175759015
