BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 4755.6 8329000000000.0 0.86698 35249384530000.0 0.8088731353897207 0.70127683092018
26 15 4764.5 666560000000.0 0.13851 12464859070000.0 0.9492393018266532 0.13147913569600972
27 15 4770.1 17568000000000.0 5.4692 31995029028000.0 0.645542245005341 3.5305996463832106
28 15 4781.1 0.0 0.0 7098812721000.0 1.0 0.0
29 15 4788.7 11130000000000.0 1.1505 639754367700000.0 0.9829001884938033 1.1308266668621207
30 15 4789.1 114410000000000.0 23.651999999999997 349657115300000.0 0.7534623845819398 17.82089232013204
31 15 4794.2 126280000000000.0 39.116 210038422800000.0 0.6245225017747675 24.428822179421807
32 15 4806.6 31213000000000.0 6.4291 604791695000000.0 0.9509233182626112 6.113581105442154
33 15 4812.3 75151000000000.0 7.7304 309206506900000.0 0.8044763048701105 6.218923627167902
34 15 4829.1 17635000000.0 0.0036154000000000004 339896673560000.0 0.9999481192772534 0.003615212430434982
35 15 4830.3 3167.2 9.7375e-10 233113067580000.0 0.9999999999864135 9.737499999867704e-10
36 15 4831.4 58750000000.0 0.006019399999999999 247579484610000.0 0.9997627587674718 0.006017971950124919
38 15 4836.9 44608000000.0 0.0091304 782670884800000.0 0.9999430086660985 0.009129879646324947
39 15 4849.6 1485400.0 1.5162e-07 241138955100000.0 0.9999999938400662 1.5161999906603085e-07
40 15 4850.5 20500.0 6.2763999999999995e-09 270932232000000.0 0.9999999999243353 6.276399999525098e-09
41 15 4850.7 24931000000.0 0.005088399999999999 284805898500000.0 0.9999124708514041 0.005087954616680284
42 15 4867.2 406040000000.0 0.082593 563089127300000.0 0.9992794259408727 0.0825334856267345
43 15 4872.0 659120.0 2.0090999999999996e-07 627389793000000.0 0.999999998949425 2.0090999978892894e-07
44 15 4875.9 248680000000.0 0.050493 142332388700000.0 0.9982558694343691 0.0504049336153496
45 15 4881.2 5707600000.0 0.0011576 507022874300000.0 0.9999887430409177 0.0011575869689441662
46 15 4883.1 9642700000.0 0.00097751 719078083800000.0 0.9999865903704866 0.0009774968919530544
47 15 4888.3 131940.0 4.0082e-08 276268887820000.0 0.9999999995224218 4.008199998085771e-08
48 15 4895.5 61090000000.0 0.012354 489506685600000.0 0.9998752164602233 0.0123524584241496
49 15 4897.7 1794100000000.0 0.18133 478038717180000.0 0.996260989378459 0.18065200520399596
50 15 4908.2 2056200000000.0 0.41475 232353814530000.0 0.9912281904673623 0.4111118919963385
51 15 4912.5 817040000000.0 0.08233 703527136700000.0 0.9988399989280411 0.08223449711174563
52 15 4923.5 720050000.0 0.00021718 240055849000000.0 0.9999970004986622 0.00021717934856829948
53 15 4933.7 203500000.0 4.0836e-05 267446247940000.0 0.9999992391000183 4.0835968927888347e-05
54 15 4936.9 26758000000.0 0.0026829 245716060000000.0 0.9998911138066301 0.002682607869231808
55 15 4951.4 916290000.0 0.00018321 634064953800000.0 0.9999985548977744 0.00018320973524282126
56 15 4955.8 2867400000.0 0.00085923 451633398650000.0 0.9999936510855847 0.000859224544822267
57 15 4963.5 2634800000.0 0.00052554 745542794000000.0 0.9999964659430556 0.0005255381427117134
58 15 4964.4 32994000000.0 0.00329 880366793100000.0 0.9999625238437316 0.0032898767034458772
59 15 4990.3 153440000000.0 0.015221 523031680900000.0 0.9997067194882453 0.015216535977330583
