BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 6618.3 83510000000000.0 1.5615 12904683307000.0 0.13384562251694998 0.2089999395602174
14 10 6620.9 70307000000000.0 3.9424 154886835000000.0 0.6877934069553903 2.7115567275809305
15 10 6645.4 4948700000000.0 0.27647 66420987942000.0 0.9306610391231966 0.25729985748639017
16 10 6650.9 71872000000000.0 6.6866 20098197100000.0 0.21852945555990333 1.4612190575468498
17 10 6663.8 1706900000000.0 0.1585 23192546150000.0 0.9314482744026819 0.1476345514928251
18 10 6671.7 10453000000000.0 0.58168 904116541300000.0 0.9885705793513069 0.5750317345970681
19 10 6675.7 19596000000000.0 2.5429 58786763810000.0 0.7499960572007801 1.9071649738558636
20 10 6700.4 8276400000000.0 0.15286 1157636842500000.0 0.9929013586103085 0.15177490167717175
21 10 6711.9 37990000000000.0 2.1013 1226346788400000.0 0.9699526262712993 2.0381614535838812
22 10 6717.0 118800000000000.0 10.944 784411360000000.0 0.8684693248322297 9.504528290963922
23 10 6725.7 124900000000000.0 6.8946 690570060000000.0 0.846836804774905 5.8386010342010595
24 10 6729.9 141260000000000.0 18.183 441069500000000.0 0.7574225588777488 13.772214388074106
25 10 6738.2 65186000000000.0 5.986 901550500000000.0 0.9325710780548785 5.5823704732365025
26 10 6740.6 4097300000000.0 0.075223 437021900000000.0 0.9907115809060226 0.07452429725049374
27 10 6741.9 16513000000000.0 0.9093399999999999 288422570600000.0 0.9458475770225542 0.8600970356896893
28 10 6761.8 82862000000000.0 7.5827 655269000000000.0 0.8877407939783046 6.7314721184992905
29 10 6771.0 831990000000.0 0.076031 87985111270000.0 0.9906325472448061 0.07531878319956985
30 10 6771.7 37005000000000.0 2.0288 462575695200000.0 0.9259278824110976 1.8785224878356348
31 10 6783.4 57653000000000.0 5.259 190089277000000.0 0.7672863885076829 4.035159117161905
32 10 6791.7 8455400000000.0 0.46221 1367979344000000.0 0.9938570280669986 0.45937065694284746
33 10 6801.3 632440000000.0 0.034523000000000005 893905884000000.0 0.9992929984294334 0.03449859218477933
34 10 6805.0 53726000000000.0 0.97706 473734452800000.0 0.898142126647035 0.877538746261752
35 10 6809.8 543650000000.0 0.049399 494225430000000.0 0.9989012045781034 0.04934472060495373
37 10 6826.1 50782000000.0 0.0027619 1517693480000000.0 0.9999665411352416 0.0027618075899614237
38 10 6836.9 272650000000.0 0.024676 1187084470000000.0 0.9997703723712037 0.024670333708631823
39 10 6843.7 1902400000000.0 0.034401 499052900000000.0 0.9962024555883529 0.034270360674694925
40 10 6847.1 1376700000000.0 0.074646 757554840700000.0 0.9981860023912958 0.07451059233450068
41 10 6867.7 1081000000000.0 0.09739600000000001 748155067000000.0 0.9985571970602958 0.09725547676488458
42 10 6884.5 171800000000.0 0.0092646 1410360494700000.0 0.9998782020088122 0.00926347159033084
