BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 7198.2 18464000000000.0 1.2698 204007192900000.0 0.9170049849631565 1.1644129299062163
26 15 7224.9 1349200000000.0 0.18487 53245848900000.0 0.9752871363395739 0.18030133289509703
27 15 7234.6 46402000000000.0 9.525 176450723810000.0 0.7917817686645757 7.541721346530084
28 15 7251.2 7892200000000.0 0.53878 1413584588000000.0 0.9944478868268372 0.5357886324645633
29 15 7255.3 111400000000000.0 15.200999999999999 912159627000000.0 0.8911641324438444 13.546585977278877
30 15 7257.9 0.0 0.0 65557824240000.0 1.0 0.0
31 15 7275.9 104180000000000.0 21.265 398918805200000.0 0.7929233802123925 16.861515680216527
32 15 7295.1 41818000000000.0 5.6751 1333833228000000.0 0.9696013065311638 5.502584374695007
33 15 7302.4 69402000000000.0 4.7046 711074517000000.0 0.911077401448582 4.286254742854998
34 15 7310.6 39311000000.0 0.0053236 991752568000000.0 0.9999603636601263 0.005323388991981049
35 15 7318.3 173690000000.0 0.011748999999999999 680554830970000.0 0.9997448468888118 0.011746002206096649
36 15 7319.2 18571.0 3.768e-09 551406499000000.0 0.9999999999663207 3.767999999873097e-09
38 15 7330.8 275420000000.0 0.037195 1607854897300000.0 0.9998287327854981 0.0371886297159566
39 15 7351.4 248810000000.0 0.033507 720040111000000.0 0.9996545691697513 0.03349542564917086
40 15 7352.3 1532300000.0 0.00010316 597188529300000.0 0.9999974341502001 0.00010315973530693464
41 15 7355.6 128490.0 2.5941999999999998e-08 826797849000000.0 0.9999999998445932 2.5941999995968436e-08
42 15 7367.8 570350000000.0 0.07664 1041360991000000.0 0.9994526030866366 0.07659804750055983
43 15 7381.8 156270000000.0 0.020959000000000002 682981939480000.0 0.99977124687533 0.020954205563260043
44 15 7383.4 1421300.0 2.8587e-07 1198427422000000.0 0.9999999988140291 2.858699996609665e-07
45 15 7388.1 3521800000.0 0.00047193 1121661197400000.0 0.9999968602025724 0.0004719285182354
46 15 7389.2 17370000000.0 0.0011637000000000002 1775591199000000.0 0.9999902174385147 0.0011636886160331997
47 15 7403.6 121320.0 2.4335e-08 734172118400000.0 0.9999999998347526 2.4334999995978704e-08
48 15 7408.9 1489900000000.0 0.09954500000000001 999389308000000.0 0.9985114087813082 0.09939681818713533
49 15 7420.6 111100000000.0 0.014822 1248910834400000.0 0.9999110504011658 0.01482068158904608
50 15 7440.5 1260800000000.0 0.16776 545161397700000.0 0.9976926266807846 0.1673729150519684
51 15 7443.0 590970000000.0 0.039304 1638603137600000.0 0.9996394752779674 0.03928982993632523
52 15 7445.7 859390000.0 0.00017141 610454369130000.0 0.9999985922145314 0.0001714097586914928
53 15 7465.7 102610000.0 1.3607e-05 1048324701700000.0 0.9999999021200304 1.3606998668147254e-05
54 15 7472.2 63466000000.0 0.0042045 708017851900000.0 0.9999103690516956 0.0042041231466778545
55 15 7490.0 2966900.0 3.9216e-07 1240630683200000.0 0.9999999976085551 3.9215999906217093e-07
56 15 7501.0 1229500000.0 0.00024341 1044599526000000.0 0.9999988229952989 0.00024340971350528568
57 15 7508.8 23108000000.0 0.0015234000000000003 1909280701000000.0 0.9999878971592205 0.001523381562532357
58 15 7513.0 2653800000.0 0.0003497 1645080676000000.0 0.9999983868294378 0.00034969943587425436
59 15 7559.1 70688000000.0 0.004629100000000001 1321898742200000.0 0.9999465282642812 0.004628852473988185
