BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 7443.7 45372000000000.0 9.0519 593012165600000.0 0.9289268085818575 8.408552578602116
36 15 7462.9 33580000000000.0 4.4547 1030415423500000.0 0.9684397138762694 4.314108393404617
37 15 7466.0 32352000000000.0 2.145 750961277000000.0 0.9586985169919442 2.0564083189477205
38 15 7486.7 7802000000000.0 1.0317 1169130634800000.0 0.9933709035085718 1.0248607611497935
39 15 7497.5 187980000000.0 0.037233999999999996 997695844400000.0 0.9998116213577136 0.0372269859096331
40 15 7502.5 4413800000000.0 0.29123000000000004 1670038908600000.0 0.9973640342439469 0.29046232769286473
41 15 7508.9 3120300000000.0 0.41141000000000005 1559433904000000.0 0.9980030772743677 0.4105884460214477
42 15 7544.8 20286000000.0 0.0013309 1369883966000000.0 0.9999851916657895 0.0013308802915879994
43 15 7583.0 22443.0 4.3952e-09 1056078694000000.0 0.9999999999787488 4.395199999906596e-09
44 15 7598.5 62039000000.0 0.0080833 1164152260000000.0 0.9999467117007124 0.008082869254690369
45 15 7613.9 82446000000.0 0.0053602 1208252518000000.0 0.9999317689196652 0.005359834267763189
46 15 7635.4 218430000000.0 0.028322000000000003 1700565252000000.0 0.9998715709691293 0.028318362632987683
47 15 7644.5 78616000000.0 0.005090699999999999 1959701726100000.0 0.9999598853002496 0.00509049578809798
48 15 7665.1 68470000000.0 0.008843700000000001 1413669668900000.0 0.9999515681170961 0.008843271682957165
49 15 7681.5 8482900000.0 0.00054665 1113392700300000.0 0.9999923810930615 0.0005466458351245221
50 15 7795.1 7317200000.0 0.00046467 1581432600000000.0 0.9999953730774591 0.0004646678500079029
