BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 6941.8 154730000000000.0 11.034 40347030000000.0 0.20682614452352488 2.2821196786725735
5 3 6956.9 199510000000.0 0.014196 27919320000000.0 0.9929047545719363 0.014095275895903208
6 3 6964.1 2435800000000.0 0.34628000000000003 96776850000000.0 0.9754486953024639 0.33777837420933726
7 3 6994.4 0.0 0.0 37235176000.0 1.0 0.0
8 3 7010.4 63187000000000.0 4.4618 587389100000000.0 0.9028753131263199 4.028449072107014
9 3 7036.2 2061300000000.0 0.29004 1096266000000000.0 0.9981232370350805 0.2894956636696548
10 3 7036.3 907090000000.0 0.063815 154616381650000.0 0.9941675041691368 0.06344279927855347
11 3 7054.6 72875000000000.0 5.1135 587810000000000.0 0.8896978136328205 4.549469770011428
12 3 7060.8 114530000000000.0 16.059 9365275000000.0 0.075590251524927 1.2139038492388028
13 3 7060.8 1592300000000.0 0.22326 50217530800000.0 0.9692664504899329 0.2163984277363824
14 3 7071.0 53983000000000.0 11.338 182844133820000.0 0.7720573688949439 8.753586448530873
15 3 7089.8 1525800000000.0 0.10653 1566883100000000.0 0.9990271669588205 0.10642636409612315
16 3 7092.8 126420000000000.0 17.646 952998400000000.0 0.8828813738954236 15.579324723758646
17 3 7115.1 115880000000000.0 24.186999999999998 404920600000000.0 0.7774964160947587 18.805305816083926
18 3 7135.7 46367000000000.0 6.4332 1398447151000000.0 0.9679079832046855 6.2267456375523835
19 3 7157.2 28087000000000.0 1.9426 653172580000000.0 0.958771955911431 1.862510401553546
