BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 7056.0 84847000000000.0 1.4881 13771949900000.0 0.13964810935387986 0.2078103515295086
14 10 7058.6 70423000000000.0 3.704 189550235000000.0 0.7291144221057987 2.7006398194798784
15 10 7085.4 5756400000000.0 0.30163 89893499912000.0 0.9398180238003802 0.2834773105189087
16 10 7093.4 72304000000000.0 6.3072 22460050460000.0 0.23701024123573539 1.4948709935220301
17 10 7107.1 1959100000000.0 0.17056 30143935490000.0 0.9389746181288603 0.1601515108680584
18 10 7114.7 11364000000000.0 0.59302 1016612204600000.0 0.9889452694049257 0.586464323662509
19 10 7120.2 23358000000000.0 2.8418 79711269990000.0 0.7733757112836227 2.197779096325799
20 10 7141.8 9378300000000.0 0.16251 1271623017800000.0 0.9926789302480138 0.1613202529546047
21 10 7156.0 37010000000000.0 1.9201 1391760995400000.0 0.97409661861897 1.8703629174102843
22 10 7161.9 118320000000000.0 10.222999999999999 899910790000000.0 0.8837984461263443 9.035071514749617
23 10 7171.5 125730000000000.0 6.5091 786926620000000.0 0.8622373439859561 5.612389095738987
24 10 7177.7 138130000000000.0 16.671 490568400000000.0 0.7802921082668574 13.00824973691678
25 10 7185.1 70589000000000.0 6.079 957981610000000.0 0.9313717509389073 5.661808873957617
26 10 7185.5 3841100000000.0 0.06615399999999999 547722200000000.0 0.9930359761064596 0.06569330196334672
27 10 7187.5 14331000000000.0 0.74027 323243122200000.0 0.9575471013399853 0.7088433927089509
28 10 7210.7 79075000000000.0 6.7857 805208800000000.0 0.9105773508459615 6.178904729635441
29 10 7219.6 958910000000.0 0.08218500000000001 123148614000000.0 0.9922735546637769 0.08155000209004251
30 10 7221.8 38324000000000.0 1.9702 546482454800000.0 0.9344672075941662 1.8410872924020263
31 10 7234.4 57824000000000.0 4.9458 220213876000000.0 0.7920283350172046 3.9172137393280906
32 10 7242.0 9828900000000.0 0.50388 1539792701000000.0 0.9936572257422991 0.5006840029070296
33 10 7249.7 656660000000.0 0.033628 1055751786600000.0 0.9993784033040313 0.03360709694630796
34 10 7256.7 53087000000000.0 0.9053399999999999 538582753100000.0 0.9102759610038278 0.8241092385352053
35 10 7260.8 507040000000.0 0.043210000000000005 554237660000000.0 0.9990859939716413 0.043170505799514626
37 10 7278.7 39114000000.0 0.0019951 1699798860000000.0 0.9999769895715955 0.0019950540918942904
38 10 7289.8 220640000000.0 0.018728 1359124000000000.0 0.9998376864898662 0.018724960192582216
39 10 7296.9 1804700000000.0 0.030608 570210300000000.0 0.9968450128056082 0.030511432151954055
40 10 7300.6 1281800000000.0 0.065183 877717638600000.0 0.9985417510595439 0.06508794695931426
41 10 7325.1 1015200000000.0 0.085757 835502484000000.0 0.9987863974433324 0.08565292508554785
42 10 7342.4 175580000000.0 0.0088779 1590494994500000.0 0.9998896188797262 0.00887692004745232
