BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 2660.0 37057000000000.0 20.689 56387781270000.0 0.6034342475164317 12.484451146867455
36 15 2662.6 7744800000000.0 2.8798 56493545470000.0 0.879436496327308 2.5326012221233816
37 15 2663.5 15213000000000.0 2.8273 56766712560000.0 0.7886487809003276 2.2297466982394964
38 15 2676.7 8903500000000.0 3.2931 134920996340000.0 0.9380946902191669 3.0892396243607383
39 15 2677.1 74372000000.0 0.041256 111871535750000.0 0.999335643423732 0.04122859130508949
40 15 2680.8 20311000000000.0 7.5009 208759695000000.0 0.911333049388967 6.835818070161702
41 15 2681.6 8165300000000.0 1.5073 215534787700000.0 0.9634988967418272 1.4522818870589562
42 15 2687.6 44078000000.0 0.0081184 133171028000000.0 0.9996691216084759 0.00811571379686625
43 15 2720.4 0.0 0.0 111505054020000.0 1.0 0.0
44 15 2722.5 102390000000.0 0.037235000000000004 111924834380000.0 0.9990860257355597 0.03720096816826357
45 15 2724.1 47533000000.0 0.0086376 111737552780000.0 0.999574782273786 0.008633927139368055
46 15 2744.5 109820000000.0 0.039615 215014938660000.0 0.999489505528401 0.039594776761507605
47 15 2745.8 243090000000.0 0.043826 226042838670000.0 0.9989257396541236 0.04377891946608162
48 15 2757.9 61894000000.0 0.022218 128020920700000.0 0.9995167657726373 0.022207263501936456
49 15 2759.3 47084000000.0 0.008446700000000001 117190742000000.0 0.9995983890045863 0.00844330771240504
50 15 2818.9 1956400000.0 0.00034355 167134615180000.0 0.9999882946025427 0.0003435459786107035
