BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 1029.3 73176000000.0 0.035193 198978274380.0 0.7311230912440979 0.02573041495015354
26 15 1029.5 5065600000.0 0.0048715 196169227710.0 0.9748274190027382 0.004748871771671839
27 15 1029.7 83050000000.0 0.11978 200345660300.0 0.7069468180561267 0.08467808986676285
28 15 1030.9 0.0 0.0 1498486293.1 1.0 0.0
29 15 1039.1 104580000000000.0 149.45 8360634860000.0 0.07402680948591933 11.063306677670644
30 15 1039.2 104060000000000.0 99.13600000000001 8534773485000.0 0.07580079626108943 7.514587738139363
31 15 1041.2 827260000000.0 0.39331 25972759810000.0 0.9691321123691363 0.381169351115905
32 15 1041.6 939020000000.0 0.8925299999999999 25971406250000.0 0.965105718085755 0.8613858065630788
33 15 1044.1 72253000000000.0 34.255 9791734134000.0 0.11934628391881431 4.088206955638984
35 15 1052.1 0.0 0.0 7935585508000.0 1.0 0.0
36 15 1052.2 142850000.0 0.00013441 7941397820000.0 0.9999820123064358 0.00013440758227410804
37 15 1052.2 285320000.0 0.00013423 7937435755000.0 0.9999640551743625 0.00013422517512605466
38 15 1052.8 120260000.0 0.0001131 34183692000000.0 0.9999964819605524 0.00011309960210973847
39 15 1057.8 2.7625 3.8781e-12 8457454796000.0 0.9999999999996734 3.878099999998733e-12
40 15 1057.9 20606000.0 1.9284e-05 8471753677000.0 0.9999975676877935 1.9283953095291408e-05
41 15 1057.9 21252000.0 9.9442e-06 8450891000000.0 0.9999974852419045 9.944174992742548e-06
42 15 1066.4 2302200000.0 0.0021374000000000002 23686798140000.0 0.9999028160644787 0.002137192279056217
43 15 1066.4 9459.1 1.3173e-08 23722082600000.0 0.9999999996012533 1.317299999474731e-08
44 15 1071.3 7460500000.0 0.0068945 918420706000.0 0.9919422708316643 0.006838945986248909
45 15 1072.1 126010000000.0 0.058182000000000005 24305332200000.0 0.9948422809124257 0.05788191358804676
46 15 1072.1 118710000000.0 0.10962000000000001 24103776900000.0 0.99509918199192 0.10908277232995428
47 15 1074.7 1614.1 2.2304e-09 9821899200000.0 0.9999999998356632 2.2303999996334635e-09
48 15 1074.8 6008400.0 5.5343e-06 9980455390000.0 0.9999993979837444 5.534296668261437e-06
49 15 1080.5 2506500000000.0 2.2967 10307985800000.0 0.8044010474458523 1.8474678856688889
50 15 1080.5 2420100000000.0 1.1088 11388540000000.0 0.8247401626807565 0.9144718923804228
51 15 1081.7 105850000000.0 0.048441000000000005 33514496474000.0 0.9968516088886277 0.04828848878617402
52 15 1087.8 22171000.0 3.0269e-05 7906012079000.0 0.9999971956863203 3.026891511622923e-05
53 15 1088.1 5030100.0 4.576700000000001e-06 7910053509000.0 0.9999993640881448 4.576697089622213e-06
54 15 1088.3 178040000.0 8.098300000000001e-05 7911310606000.0 0.9999774960177576 8.098117756000608e-05
55 15 1097.5 5495300000.0 0.0074355 16206242613000.0 0.9996610295559002 0.0074329795852628965
56 15 1097.7 5460500000.0 0.004925100000000001 16404362998000.0 0.9996672420028975 0.0049234611335884715
57 15 1099.7 61450000.0 5.5323e-05 34068720937000.0 0.9999981962959726 5.532290021368209e-05
58 15 1100.0 270210000.0 0.0001216 34252250992000.0 0.9999921112376398 0.00012159904072649699
59 15 1109.9 275860000000.0 0.12304000000000001 16553186923000.0 0.9836081032240164 0.12102314102068298
