BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 4292.7 75965000000000.0 2.19 7472163000000.0 0.08955437518890713 0.19612408166370662
14 10 4294.4 69519000000000.0 6.0101 35386588000000.0 0.3373184276894764 2.0273174822565223
15 10 4305.4 68959000000000.0 9.9107 9332182149000.0 0.11919838087563221 1.1813393933441283
16 10 4308.0 1543900000000.0 0.13305 7609699454200.0 0.8313341098520972 0.11060900331582153
17 10 4314.2 582830000000.0 0.083593 3480365720000.0 0.856558718761399 0.07160231297742163
18 10 4319.7 5053400000000.0 1.0134 6319999535000.0 0.5556825393806937 0.563128685408395
19 10 4322.9 5250200000000.0 0.4509 401546535030000.0 0.9870938000532063 0.4450805944439908
20 10 4352.8 2891700000000.0 0.082214 559710195200000.0 0.9948601310719509 0.08179143081594938
21 10 4355.6 47713000000000.0 4.0669 490783500000000.0 0.9113958957950516 3.706555968608896
22 10 4357.2 122680000000000.0 17.421 301185143000000.0 0.7105683210190276 12.37881072047248
23 10 4360.1 150680000000000.0 29.938000000000002 197438400000000.0 0.5671587597782823 16.979598950242217
24 10 4361.4 111290000000000.0 9.4735 308706732000000.0 0.7350217477406467 6.963228527221016
25 10 4367.4 38522000000000.0 5.4578 488919442000000.0 0.9269644041356917 5.059186324891778
26 10 4377.8 34917000000000.0 2.9612 147081048000000.0 0.8081462939646473 2.3930828056881137
27 10 4380.2 3925200000000.0 0.1109 87709040000000.0 0.9571644834943794 0.10614954121952667
28 10 4386.8 98010000000000.0 13.825 177883480000000.0 0.6447542000630099 8.913726815871112
29 10 4390.2 23021000000000.0 1.9468 126395259900000.0 0.8459270763743699 1.6468508322856235
30 10 4391.5 261180000000.0 0.0368 7721254199000.0 0.9672806573171979 0.03559592818927288
31 10 4396.7 54686000000000.0 7.6962 73146559500000.0 0.5722060153227237 4.403811935126747
32 10 4407.6 2601700000000.0 0.21915 598742034100000.0 0.9956735227250787 0.21820185250520102
33 10 4414.2 57453000000000.0 1.6107 201603436700000.0 0.7782220710982242 1.2534822899179097
34 10 4420.2 344710000000.0 0.028952999999999996 260348619550000.0 0.9986777183727906 0.0289147159800474
35 10 4421.2 439050000000.0 0.061448 205476727900000.0 0.9978678175879596 0.061316981655144945
37 10 4430.9 168020000000.0 0.014078 729862349300000.0 0.9997698451912883 0.014074759880602958
38 10 4439.2 784020000000.0 0.10928 463822100000000.0 0.9983125060858001 0.10909559066505624
39 10 4443.7 2466100000000.0 0.06867999999999999 201727900000000.0 0.9879227597284935 0.06785053513815292
40 10 4445.3 2056500000000.0 0.17176 270730027000000.0 0.9924611379358923 0.17046512505186887
41 10 4451.7 1413200000000.0 0.19643 350224850000000.0 0.9959810947649153 0.1956405664446723
42 10 4466.7 121270000000.0 0.010079000000000001 610193432500000.0 0.9998012992321776 0.010076997294961119
