BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 792.38 139860000000000.0 87.374 765050800000.0 0.005440359279144879 0.47534595165600463
5 3 796.81 182040000.0 0.00011309 924931400.0 0.8355513069262674 9.449249730029159e-05
6 3 796.89 2133800000.0 0.0026509 2366567000.0 0.5258608909006754 0.0013940046356886004
7 3 797.11 0.0 0.0 4671513.4 1.0 0.0
8 3 812.16 6863700000000.0 4.1834 12521950000000.0 0.6459391353913848 2.702221778996319
9 3 812.34 4496500000000.0 5.4801 12857470000000.0 0.7408950228679663 4.060178814818742
10 3 816.35 188240000.0 0.00011414 2023394820.0 0.9148864910708903 0.00010442514409083142
11 3 816.53 3407100000.0 0.0041311 2255869490.0 0.3983545194766712 0.0016456423554100767
12 3 816.67 63369000000.0 0.11523 2699397883.0 0.0408576258770546 0.004708024229813001
13 3 819.32 97866000000000.0 59.128 1335217000000.0 0.013459683664969553 0.7958441757423198
14 3 819.38 98654000000000.0 119.2 997742300000.0 0.010012291576361129 1.1934651559022464
15 3 826.59 143400000000000.0 257.63 6548638000000.0 0.0436725407269121 11.251356667474365
16 3 826.7 143350000000000.0 171.67 6613090800000.0 0.04409812284290422 7.570324748441367
17 3 829.27 8832000000.0 0.0052721 20929549000000.0 0.9995781908830487 0.005269876180154521
18 3 829.57 510150000000.0 0.60882 20884089000000.0 0.9761547956905595 0.5943025627123265
19 3 840.27 17545000000000.0 10.335999999999999 6498642000000.0 0.2702852587806789 2.7936684347570964
