BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 827.38 56414000000000.0 8.4381 360397100000.0 0.0063478807069533814 0.05356405219334333
14 10 827.42 56069000000000.0 25.158 371063036500.0 0.006574461765927372 0.16540030910720083
15 10 827.66 55450000000000.0 41.455 365516081900.0 0.006548646461741317 0.27147413907148626
16 10 830.15 7036900000.0 0.003147 1199511430.0 0.14563520049896292 0.00045831397597023634
17 10 830.29 2374400000.0 0.0017695 872444712.0 0.26870540151659705 0.0004754742079836185
18 10 830.42 17187000000.0 0.017929 749162582.0 0.04176827560382559 0.0007488634133009889
19 10 835.33 604650000000.0 0.26874000000000003 13022477040000.0 0.9556289452483155 0.25681572274603237
20 10 847.6 17389000000.0 0.0025388000000000003 18372170000000.0 0.9990544090807181 0.002536399333774127
21 10 847.66 34909000000000.0 15.29 14845706000000.0 0.29837792630108195 4.562198493143542
22 10 847.67 120870000000000.0 123.52 5931274000000.0 0.046776138858037025 5.777788671744733
23 10 847.69 98909000000000.0 72.19800000000001 8273094900000.0 0.07718728494454907 5.572767598426554
24 10 847.84 86327000000000.0 37.802 9487955120000.0 0.09902373912420197 3.7432953863730827
25 10 847.97 22188000000000.0 16.19 16100345000000.0 0.4205025053968773 6.807935562375444
26 10 855.85 47520000000000.0 20.614 6565550523000.0 0.12139195144566357 2.502373687100909
27 10 857.31 1167400000.0 0.00084259 836254248.0 0.417364547219027 0.00035166719384128
28 10 858.78 120440000000000.0 86.77600000000001 6109998968000.0 0.04828130397334102 4.18965843359064
29 10 859.74 61810000000.0 0.0088971 819911321000.0 0.9298984854648876 0.008273399815029652
30 10 859.86 75499000000.0 0.032598 803077809000.0 0.9140667051228756 0.0297967464535955
31 10 860.0 1338300000000.0 0.9629 791399010000.0 0.37160134191920385 0.3578149321340014
32 10 866.3 7485500000.0 0.003208 18937260000000.0 0.9996048772468334 0.0032067324462078414
33 10 867.0 50000000000000.0 7.137 6802046000000.0 0.11975001745535716 0.8546558745788839
35 10 869.31 2605400000.0 0.0018545000000000002 5856575560000.0 0.999555330340915 0.0018536753601172272
36 10 869.31 1469300000.0 0.00062752 5859827075000.0 0.9997493216677684 0.000627362694332958
37 10 872.68 2777900000.0 0.0011818 25704822000000.0 0.999891942460175 0.0011816722975994348
38 10 876.9 205330000000.0 0.14489000000000002 17739614450000.0 0.988557780127316 0.14323213676264684
39 10 877.52 2679600000000.0 1.1337 5925181277000.0 0.6885917359500595 0.7806564510465824
40 10 877.55 2474800000000.0 1.745 6863099000000.0 0.7349725029152704 1.2825270175871468
41 10 877.59 2683400000000.0 0.37840999999999997 5910631000000.0 0.687760027861198 0.2602552721429559
42 10 885.2 117910000000.0 0.049451 18777786720000.0 0.9937599548856434 0.049142423529049954
