BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 737.38 6942400000.0 0.0058256 533284180.3 0.07133583595001458 0.00041557404591040497
36 20 746.42 24974000000000.0 28.985 3137834597800.0 0.11161970190467624 3.2352970597070407
37 20 746.48 59294000000000.0 29.49 3138282038000.0 0.05026697624299325 1.4823731294058708
38 20 746.48 47254000000000.0 39.17 3137359472200.0 0.06225986964949466 2.438719094170706
39 20 748.28 647330000000.0 0.32116999999999996 13682343850000.0 0.9548259083370554 0.30666143698061205
40 20 748.79 30690000000000.0 25.361 3509813465000.0 0.10262668445814577 2.602715344543035
41 20 748.83 30881000000000.0 15.31 3718239974400.0 0.10746594367827525 1.6453035977143942
42 20 748.86 33626000000000.0 5.5569 3502967670000.0 0.09434594845550684 0.524271000972406
43 20 751.91 35661000000000.0 29.346 10069523601000.0 0.22019261552430175 6.4617724951761595
44 20 754.27 31565000000000.0 15.537 10475513810000.0 0.24917663607403945 3.871457394682351
45 20 756.8 0.0 0.0 3156004000000.0 1.0 0.0
46 20 756.94 133240.0 1.0892000000000001e-07 3155483000000.0 0.9999999577750872 1.089199954008625e-07
47 20 757.0 12337000.0 6.050599999999999e-06 3154623000000.0 0.9999960892468758 6.050576337597146e-06
48 20 769.44 27175000000.0 0.021854 13305084200000.0 0.9979617107954217 0.021809455227723144
49 20 769.53 71747000000.0 0.034614 13320833600000.0 0.9946427800479319 0.03442856518857911
50 20 769.58 104930000000.0 0.016873 13332448900000.0 0.9921911854401902 0.01674124187193233
51 20 770.66 0.0 0.0 6411665900000.0 1.0 0.0
52 20 770.7 100470000000.0 0.080667 6421652800000.0 0.9845955062360985 0.07942436570154736
53 20 770.73 170340000000.0 0.082054 6417446100000.0 0.9741430584699767 0.07993233451969547
54 20 777.06 302300000000.0 0.14443 6783983260900.0 0.9573401190906379 0.13826863340026083
55 20 778.99 358240000000.0 0.28456 6665296426000.0 0.9489943557957707 0.2700458338852445
56 20 781.23 242930000000.0 0.19241 3702787177000.0 0.9384319784965672 0.1805636969825245
57 20 781.37 659570000000.0 0.31339 3690913301900.0 0.8483915569307107 0.2658774300265154
58 20 781.4 985130000000.0 0.15602 3688345174000.0 0.789208252248651 0.12313227151583452
59 20 785.4 1418500000000.0 0.22351 7043444000000.0 0.8323671250956045 0.18604237613011856
60 20 785.57 214940000000.0 0.10157999999999999 13598900000000.0 0.9844402425393664 0.09999943983714882
61 20 800.32 14478000.0 1.1193e-05 6339636596000.0 0.9999977162780994 1.1192974438300766e-05
62 20 800.45 44417000000.0 0.020600999999999998 6340567000000.0 0.9930435221137595 0.020457689599065555
63 20 800.55 67961000000.0 0.010506 6339383947100.0 0.989393266546269 0.010394565658335101
64 20 805.76 24181000000.0 0.011142 13454921294000.0 0.9982060378003983 0.011122011673172038
