BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 718.72 20005000000.0 0.013778 89643186650.0 0.8175528423114146 0.01126424306136667
26 15 718.81 1056400000.0 0.0014550000000000001 89426070400.0 0.9883248103712252 0.0014380125990901328
27 15 718.88 21202000000.0 0.043798000000000004 90182890140.0 0.8096510220250598 0.03546109546265357
28 15 719.64 0.0 0.0 187775560.86 1.0 0.0
29 15 726.39 91501000000000.0 187.07 3640499109000.0 0.03826405031551183 7.158055892522798
30 15 726.46 91433000000000.0 124.61 3667271761000.0 0.038562158583693176 4.805230581114007
31 15 727.93 229240000000.0 0.15589 11477083760000.0 0.980417421839698 0.15283727189059054
32 15 728.09 294930000000.0 0.40104 11471716550000.0 0.974935084626979 0.39098796633880367
33 15 730.18 64415000000000.0 43.669 4298982750500.0 0.0625634343756434 2.7320826157499716
35 15 736.6 20409000.0 2.743e-05 14877746000000.0 0.9999986282215059 2.7429962372115905e-05
36 15 736.61 0.0 0.0 3430035900000.0 1.0 0.0
37 15 736.62 43531000.0 5.8506000000000005e-05 3625883399800.0 0.9999879945181381 5.8505297607278193e-05
38 15 736.62 65009000.0 4.3686e-05 3430147886700.0 0.9999810481150947 4.368517206795603e-05
39 15 741.12 0.0 0.0 3702820578000.0 1.0 0.0
40 15 741.14 3927300.0 5.2461000000000005e-06 3703419200000.0 0.9999989395486648 5.246094436766251e-06
41 15 741.18 6780100.0 4.5282e-06 3701789200000.0 0.9999981684295849 4.528191706282847e-06
42 15 747.69 547110000.0 0.00072443 10356851568000.0 0.9999471768909348 0.0007243917333550999
43 15 747.7 2045.3 4.062300000000001e-09 10365312100000.0 0.9999999998026783 4.0622999991984205e-09
44 15 752.25 116190000000.0 0.15291 9932785265000.0 0.9884376270280331 0.15114199754885652
45 15 752.26 121980000000.0 0.08026599999999999 10673631700000.0 0.9887009644854121 0.07935907161538608
46 15 752.35 3711600000.0 0.0048842 1101142522000.0 0.9966406424829358 0.0048677922260151555
47 15 754.78 331.49 6.5221e-10 4303949520000.0 0.9999999999229799 6.522099999497667e-10
48 15 754.85 154690.0 2.0288e-07 4322961218100.0 0.9999999642166593 2.0287999274027582e-07
49 15 759.35 2279700000000.0 2.9722 4570225590000.0 0.6671934650898886 1.983032416940167
50 15 759.38 2259400000000.0 1.4728 4737610700000.0 0.6770906753079569 0.9972191465935589
51 15 760.23 34178000000.0 0.022255 15046994520000.0 0.9977337305866188 0.022204564174205202
52 15 765.04 7649200.0 1.4847999999999999e-05 3429637860500.0 0.9999977696820332 1.4847966884238828e-05
53 15 765.2 1765100.0 2.2837e-06 3430652000000.0 0.9999994854916524 2.2836988250172864e-06
54 15 765.25 41855000.0 2.7074000000000002e-05 3430687000000.0 0.9999877999685288 2.707366969634795e-05
55 15 772.66 5210900000.0 0.010015000000000001 7058815130000.0 0.9992623328427911 0.010007612263420554
56 15 772.72 5208300000.0 0.006673 7089180264000.0 0.9992658563943863 0.00666810105971974
57 15 774.16 17179000.0 2.197e-05 15047983379000.0 0.9999988583865389 2.196997491875226e-05
58 15 774.28 61612000.0 3.939e-05 15077261379000.0 0.9999959135981874 3.93898390366326e-05
59 15 782.6 267800000000.0 0.16939 7265357228000.0 0.9644504963994892 0.1633682695851095
