BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 651.87 138110000000000.0 104.88 518292100000.0 0.0037387180650406355 0.39211675066146184
5 3 655.86 63892000.0 4.8223e-05 335355300.0 0.8399688614049488 4.050581840353084e-05
6 3 655.91 1038000000.0 0.0015668 850276600.0 0.45029239889961037 0.0007055181305959094
7 3 656.05 0.0 0.0 2053559.853 1.0 0.0
8 3 669.6 6477900000000.0 4.7889 8341237000000.0 0.5628692817942097 2.6955247035842906
9 3 669.72 4769100000000.0 7.05 8500187000000.0 0.640591088277765 4.5161671723582435
10 3 673.38 92696000.0 6.8142e-05 799926211.0 0.896153155436102 6.106566831772686e-05
11 3 673.5 1409300000.0 0.0020716 804180410.0 0.363310380506146 0.000752633784256532
12 3 673.59 31075000000.0 0.068509 889730659.6 0.02783476166512876 0.0019069316869163063
13 3 676.14 95972000000000.0 70.264 843405300000.0 0.008711478275451686 0.6121033095463372
14 3 676.17 96410000000000.0 141.16 683625700000.0 0.0070408916658676185 0.993892267553873
15 3 682.53 139420000000000.0 303.35 4317290000000.0 0.030035977441901125 9.111413757000706
16 3 682.61 139510000000000.0 202.33 4340889500000.0 0.030176313230235535 6.105573455873556
17 3 684.92 4805500000.0 0.0034731000000000002 13889201000000.0 0.9996541314414961 0.00347189876390946
18 3 685.12 257200000000.0 0.37166 13874384000000.0 0.9817996340679148 0.3648956519976812
19 3 694.88 16633000000000.0 11.849 4318640000000.0 0.20612419839210677 2.442365626748073
