BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 683.27 54064000000000.0 9.7921 242596400000.0 0.004467162666817396 0.04374290354974262
14 10 683.29 53801000000000.0 29.232 246703281860.0 0.004564546999776046 0.13343083789745336
15 10 683.44 53306000000000.0 48.261 245059830000.0 0.004576190103014811 0.2208515105615978
16 10 685.68 3570600000.0 0.0019332999999999998 427126440.0 0.10684233811656207 0.00020655829228074943
17 10 685.77 1108100000.0 0.00099988 313656633.09999996 0.22061204132812987 0.0002205855678831705
18 10 685.84 8518600000.0 0.010759999999999999 251047970.6 0.028626915406596856 0.00030802560977498215
19 10 690.24 492850000000.0 0.26509 8545121890000.0 0.9454689607360574 0.25063436680152146
20 10 701.12 9175800000.0 0.0016196 12059460000000.0 0.9992396986575732 0.0016183686159458054
21 10 701.18 6816000000000.0 3.609 11597152000000.0 0.6298298086063701 2.2730557792603894
22 10 701.27 44726000000000.0 39.464 8926303000000.0 0.1663731564328189 6.565750245464765
23 10 701.3 114910000000000.0 141.94 3863397000000.0 0.03252746067370625 4.616947768025866
24 10 701.4 108370000000000.0 57.363 4340950000000.0 0.03851400418504147 2.209278822066534
25 10 701.41 70355000000000.0 62.066 7029903180000.0 0.09084334141567896 5.63828282830553
26 10 708.59 44960000000000.0 23.555999999999997 4325581114100.0 0.08776565105493915 2.0674076762501463
27 10 709.88 573350000.0 0.00049976 283459572.5 0.3308314724740076 0.00016533633668361006
28 10 711.17 115300000000000.0 100.32 4012454456000.0 0.03362980398228008 3.3737419355023377
29 10 712.25 33121000000.0 0.0057548 533997796000.0 0.9415977741637045 0.005418706870757286
30 10 712.33 33797000000.0 0.017615000000000002 523839629000.0 0.93939243184113 0.016547397686881505
31 10 712.41 492800000000.0 0.42803 510085140000.0 0.5086177067096637 0.21770363700293735
32 10 717.96 3314600000.0 0.001714 12417300000000.0 0.999733137199185 0.001713542597159403
33 10 718.49 47544000000000.0 8.189 4493840000000.0 0.08635715856000171 0.707178771447854
35 10 720.55 1258000000.0 0.0010803 3810769149700.0 0.9996699918571936 0.0010799434922033261
36 10 720.55 710520000.0 0.0003661 3811730697500.0 0.9998136312248597 0.0003660317703914211
37 10 723.43 1262900000.0 0.0006481 16895656000000.0 0.999925258562968 0.0006480515600746596
38 10 727.27 73642000000.0 0.06265599999999999 12013163150000.0 0.9939072402437132 0.062274252044710085
39 10 727.93 2580100000000.0 1.3159 3870886774800.0 0.6000456844712736 0.789600116195749
40 10 727.94 2503900000000.0 2.1284 4096586700000.0 0.6206491863698476 1.3209897282695835
41 10 727.98 2583000000000.0 0.43911000000000006 3866279000000.0 0.5994901135460259 0.26324210375919543
42 10 734.7 117400000000.0 0.059324 12322715780000.0 0.9905627887974529 0.05876414688262009
