BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 5391.4 79649000000000.0 1.8282 10181900000000.0 0.11334518523136249 0.2072176676399769
14 10 5393.7 70014000000000.0 4.8192 78560807000000.0 0.5287626387426504 2.548212908628581
15 10 5412.2 2927500000000.0 0.20082 24286009618000.0 0.8924247536942591 0.17921673903688112
16 10 5412.3 70493000000000.0 8.0592 14033464750000.0 0.1660245083182661 1.3380247174385702
17 10 5423.1 1056400000000.0 0.12053 9687015206000.0 0.9016700016015373 0.10867828529303329
18 10 5431.5 7728300000000.0 0.5282600000000001 618652999800000.0 0.9876619879896357 0.521742321775405
19 10 5431.5 10599000000000.0 1.6905 21023126647000.0 0.6648233017874675 1.1238837916717137
20 10 5462.3 5226800000000.0 0.11842000000000001 837132945600000.0 0.9937950501228225 0.11768520983554466
21 10 5468.2 41775000000000.0 2.8363 805079400000000.0 0.9506703867866778 2.6963864180430543
22 10 5471.2 120560000000000.0 13.634 501529220000000.0 0.8062014320068108 10.99175032398086
23 10 5477.5 120140000000000.0 8.1433 464636047000000.0 0.7945538285702047 6.4702901921957485
24 10 5477.8 148010000000000.0 23.408 306221700000000.0 0.6741530809056259 15.780575317838892
25 10 5486.6 49979000000000.0 5.6365 704198520000000.0 0.9337304564580499 5.262971717825798
26 10 5494.1 24622000000000.0 1.6638 205204020000000.0 0.892866786798118 1.4855517598747088
27 10 5494.8 4433300000000.0 0.099845 205669520000000.0 0.9788993788850621 0.09773820848477903
28 10 5507.0 92630000000000.0 10.408 339087900000000.0 0.7854385931183303 8.174844877175582
29 10 5513.3 31411000000000.0 2.1152 260740022430000.0 0.892483689638546 1.8877815003234526
30 10 5514.8 496010000000.0 0.055652 28226238928000.0 0.9827308090935574 0.054690934987674654
31 10 5522.3 56704000000000.0 6.3537 120067842150000.0 0.6792249302245561 4.315591439167762
32 10 5532.2 4990200000000.0 0.33489 930529333000000.0 0.9946658516215076 0.33310364704952666
33 10 5541.8 55668000000000.0 1.2431 315424782700000.0 0.8499889984521652 1.0566213239758866
34 10 5544.9 518960000000.0 0.034747 507117909300000.0 0.9989776944280749 0.03471147794829232
35 10 5548.2 562470000000.0 0.06273 331312445000000.0 0.9983051747071634 0.06262368360938035
37 10 5560.7 103570000000.0 0.0069148 1070382374900000.0 0.9999032495470926 0.006914130989968236
38 10 5570.2 489050000000.0 0.054326 764650370000000.0 0.9993608354409449 0.05429127674616477
39 10 5575.9 2194500000000.0 0.048705 325283600000000.0 0.9932987885296757 0.04837861749533785
40 10 5578.6 1697400000000.0 0.11295999999999999 468188462210000.0 0.996387633388209 0.11255194706753208
41 10 5590.2 1267500000000.0 0.1403 524477977000000.0 0.9975891376046969 0.139961756005939
42 10 5606.0 148600000000.0 0.009840799999999999 954933855200000.0 0.9998444113393656 0.009839268883108428
