BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 462.95 3872800000.0 0.0041411 33854894320.0 0.8973486169827513 0.0037160103577872712
26 15 462.98 98357000.0 0.00021032 33849935229.0 0.9971027408584642 0.00020971064845735218
27 15 463.0 3454600000.0 0.01108 33955236160.0 0.9076553025994327 0.010056820752801714
28 15 463.35 0.0 0.0 13883570.170000002 1.0 0.0
29 15 468.49 73323000000000.0 232.42 1267415883000.0 0.01699167202644406 3.9492044123861287
30 15 468.52 73362000000000.0 155.02 1269682348000.0 0.017012645408147165 2.6373002911709738
31 15 469.43 40085000000.0 0.04227 4065522390000.0 0.9902365238094527 0.041857297861425564
32 15 469.48 67035000000.0 0.14135999999999999 4064193075000.0 0.9837735901327598 0.1390662347011669
33 15 471.14 52726000000000.0 55.398 1537378690000.0 0.028331790742018758 1.5695245435263552
34 15 475.42 3987400.0 8.3036e-06 5352555400000.0 0.9999992550479665 8.303593814216294e-06
36 15 476.02 0.0 0.0 1182888600000.0 1.0 0.0
37 15 476.02 9985100.0 1.0384000000000001e-05 1182776500000.0 0.999991557986056 1.0383912338127206e-05
38 15 476.02 4246400.0 8.8316e-06 1183013830000.0 0.9999964105366733 8.831568299295685e-06
39 15 479.37 0.0 0.0 1302376213300.0 1.0 0.0
40 15 479.38 861850.0 1.7799e-06 1302305500000.0 0.9999993382125548 1.7798988220845263e-06
41 15 479.4 2299000.0 2.3738e-06 1302181600000.0 0.9999982345043571 2.373795809066443e-06
42 15 483.98 80400000.0 0.00016447 3633554350000.0 0.9999778733952277 0.0001644663608373131
43 15 483.98 122.75 3.7666000000000007e-10 3635771900000.0 0.9999999999662382 3.7665999998728336e-10
44 15 487.37 109100000000.0 0.22161999999999998 3773362600000.0 0.9718992785661348 0.21539231811582676
45 15 487.37 110860000000.0 0.1126 3774714780000.0 0.9714688286091872 0.10938739010139448
46 15 488.3 109810000.0 0.00022265 133444442380.0 0.9991777873183134 0.00022246693434642246
47 15 489.8 18.69 5.666600000000001e-11 1508894350000.0 0.9999999999876135 5.666599999929811e-11
48 15 489.83 1039700.0 2.1015e-06 1511204120000.0 0.9999993120060547 2.101498554180724e-06
49 15 493.19 1938900000000.0 3.8922 1628268550000.0 0.4564596618233809 1.776632295748963
50 15 493.21 1940100000000.0 1.9472 1643475600000.0 0.45861334695994693 0.8930119092004087
51 15 493.74 8056300000.0 0.0080772 5371666555000.0 0.9985024693246953 0.00806510414522943
52 15 497.3 1923400.0 5.7436e-06 1190249737200.0 0.9999983840392216 5.743590718567674e-06
53 15 497.35 460040.0 9.1575e-07 1190320000000.0 0.9999996135158427 9.157496460771329e-07
54 15 497.37 4775700.0 4.7531e-06 1190169000000.0 0.9999959873926837 4.7530809276761655e-06
55 15 502.81 4631800000.0 0.013680000000000001 2463095811700.0 0.9981230505433258 0.013654323331432698
56 15 502.84 4635300000.0 0.009126299999999999 2466529184100.0 0.9981242446507206 0.00910918129395587
57 15 503.68 4153400.0 8.1638e-06 5341634731000.0 0.999999222448374 8.163793652224035e-06
58 15 503.72 7496900.0 7.367300000000001e-06 5345003941000.0 0.9999985974024402 7.367289666642999e-06
59 15 510.33 250840000000.0 0.24331 2567130500000.0 0.9109855834189889 0.2216519023016742
