BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 411.81 133430000000000.0 160.39 205815370000.0 0.0015401213322203714 0.24702006047482536
5 3 414.95 1400200.0 1.6703e-06 29903100.0 0.9552698916727629 1.5955873000610157e-06
6 3 414.96 174330000.0 0.00041593 75057610.0 0.30096767838626787 0.0001251814864712004
7 3 415.0 0.0 0.0 292246.7725 1.0 0.0
8 3 425.51 5973600000000.0 6.9493 3164023000000.0 0.3462632459229277 2.4062871748922015
9 3 425.55 5188500000000.0 12.071 3190427000000.0 0.38076796706785965 4.596250130476133
10 3 428.52 17886000.0 2.0660999999999998e-05 119932444.0 0.870220563511804 1.797962706271738e-05
11 3 428.58 79896000.0 0.00018456 63322193.0 0.44213791330267654 8.160097327914199e-05
12 3 428.6 4871700000.0 0.016880000000000003 54444128.92 0.011052077952890964 0.0001865590758447995
13 3 430.82 90637000000000.0 104.14 292909700000.0 0.003221269007814708 0.33546295447382374
14 3 430.82 90665000000000.0 208.35 266359200000.0 0.0029292336806948332 0.6103058373727684
15 3 435.53 128650000000000.0 438.66 1600499000000.0 0.01228785311601762 5.3901896478722895
16 3 435.58 128790000000000.0 292.74 1602634900000.0 0.012290839135424204 3.5980202485040818
17 3 437.31 1181300000.0 0.0013372 5245653000000.0 0.9997748547157284 0.001336898935725872
18 3 437.38 41129000000.0 0.093097 5245203600000.0 0.992219747959105 0.09237268187574879
19 3 445.24 14314000000000.0 15.914000000000001 1639995700000.0 0.10279529535036794 1.6358843302057555
