BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 436.05 47965000000000.0 13.613 94255110000.0 0.00196122702660008 0.02669818351310689
14 10 436.05 47825000000000.0 40.719 94732568760.0 0.001976901031825841 0.08049743311491643
15 10 436.1 47544000000000.0 67.459 94714240000.0 0.001988177924425863 0.1341204946038443
16 10 437.8 711960000.0 0.00060376 39153967.957 0.05212786558010262 3.147272012264276e-05
17 10 437.83 157570000.0 0.00022268 26860278.200000003 0.1456392001473433 3.2430937088810404e-05
18 10 437.85 1483500000.0 0.0029352 17452490.9 0.011627610471224941 3.4129362255139444e-05
19 10 441.1 258360000000.0 0.21745 3119058960000.0 0.9235037159855347 0.20081588304105452
20 10 449.22 2020300000.0 0.00055658 4407187000000.0 0.9995417997244085 0.0005563249748906112
21 10 449.24 143890000000.0 0.11892 4406478000000.0 0.9683783817045127 0.11515955715230065
22 10 449.29 300150000000.0 0.41338 4404648000000.0 0.9362034246741305 0.3870077716917921
23 10 449.68 99131000000000.0 190.97 1382786000000.0 0.013757177547764444 2.627208196296576
24 10 449.7 98917000000000.0 136.1 1391245500000.0 0.013869702266898886 1.8876664785249384
25 10 449.72 99130000000000.0 81.836 1387126000000.0 0.013799897143895658 1.129328382667845
26 10 455.2 38150000000000.0 31.115 1595787400000.0 0.040149849943594274 1.2492625809949358
27 10 456.23 99039000.0 0.00013432 21936926.85 0.18133299261430708 2.4356647567953726e-05
28 10 457.07 99914000000000.0 135.26 1452678126400.0 0.014330923664959912 1.9384007349224777
29 10 458.34 7575900000.0 0.0020455 195280065600.0 0.962653797350291 0.0019691083424800203
30 10 458.36 4750700000.0 0.003848 192268144100.0 0.9758870781031042 0.0037552134765407447
31 10 458.38 39539000000.0 0.053374 189493787500.0 0.8273653286431751 0.04415979705100083
32 10 462.4 400790000.0 0.0003218 4526382000000.0 0.9999114625069077 0.0003217715086347229
33 10 462.63 40977000000000.0 10.960999999999999 1670768000000.0 0.03917597750953813 0.42940788948204733
35 10 464.23 117600000.0 9.4049e-05 1360409370000.0 0.9999135629042326 9.404087067758016e-05
36 10 464.23 205950000.0 0.00027451 1360240400000.0 0.9998486158605225 0.00027446844353987203
37 10 466.13 172610000.0 0.00013748 6200278000000.0 0.99997216170068 0.0001374761727906095
38 10 469.16 5223600000.0 0.0068893999999999995 4446010271700.0 0.9988264826898423 0.006881315169843399
39 10 469.94 2284200000000.0 3.0075 1408100250000.0 0.3813612530562757 1.146943968566749
40 10 469.95 2293500000000.0 1.8119 1402095200000.0 0.3793963148344819 0.6874281828485977
41 10 469.98 2295700000000.0 0.6045 1401784000000.0 0.37911834101242897 0.22917703714201332
42 10 474.89 112740000000.0 0.088141 4506724334000.0 0.9755945729096304 0.08598988125082772
