BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 1903.4 33269000000000.0 25.956999999999997 26037202389000.0 0.4390300059716744 11.395901865006751
36 15 1904.6 6213800000000.0 3.23 26021417160000.0 0.8072356711866494 2.6073712179328776
37 15 1905.1 13485000000000.0 3.5041 26077159370000.0 0.6591439846879117 2.3097064367449116
38 15 1916.5 24191000000.0 0.018744999999999998 52280040840000.0 0.9995374944024797 0.01873633033257448
39 15 1916.6 3632800000000.0 1.8766 57158798700000.0 0.9402417426472451 1.7644576542518202
40 15 1919.2 23343000000000.0 12.042 103732992280000.0 0.8163067658872504 9.82996607481427
41 15 1919.9 7086400000000.0 1.8271 105857464000000.0 0.9372573263475384 1.7124628609695873
42 15 1924.2 7639800000.0 0.0019654 57803215600000.0 0.9998678483487722 0.001965140269144677
43 15 1951.0 0.0 0.0 51867277620000.0 1.0 0.0
44 15 1952.0 103510000000.0 0.052498 51924370130000.0 0.998010489765461 0.05239355469170717
45 15 1952.8 44635000000.0 0.011315 51897982391000.0 0.9991406863527109 0.011305276866080925
46 15 1969.9 93516000000.0 0.046999 101353957380000.0 0.9990781830548927 0.0469556755253969
47 15 1970.5 267920000000.0 0.067304 104294507000000.0 0.9974377029331961 0.06713154715821583
48 15 1981.3 40757000000.0 0.020366 59134201800000.0 0.9993112458237994 0.020351972832447496
49 15 1981.9 55260000000.0 0.013802000000000002 56202426000000.0 0.9990177342167966 0.013788442767660228
50 15 2029.6 729370000.0 0.00017789 77887294927000.0 0.9999906356592482 0.00017788833417742365
