BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 1700.5 145660000000000.0 42.401 3399868000000.0 0.022808741518542067 0.9671134491277023
5 3 1707.2 4533000000.0 0.0013144 45333570000.0 0.9090974173679882 0.0011949176453884837
6 3 1707.7 31212000000.0 0.018095 120972300000.0 0.7949065705200865 0.014383834393560965
7 3 1708.9 0.0 0.0 112947665.0 1.0 0.0
8 3 1730.8 10925000000000.0 3.1246 58683120000000.0 0.8430499200380646 2.6341937801509365
9 3 1731.7 2582100000000.0 1.4762 64454500000000.0 0.9614822350775547 1.4193400754214862
10 3 1737.6 3579000000.0 0.0010196 102059370000.0 0.9661202648242301 0.000985056222014785
11 3 1738.4 58101000000.0 0.033089 108415954800.0 0.6510805757300577 0.02154360517033188
12 3 1739.3 890490000000.0 0.76032 178301788610.0 0.16682555995484166 0.12684080974486522
13 3 1741.4 102300000000000.0 29.081 9278560000000.0 0.08315719435705211 2.4182943690974326
14 3 1741.8 106980000000000.0 60.806999999999995 3415596000000.0 0.030939603786368435 1.8813444874377052
15 3 1753.9 155360000000000.0 131.55 32519330000000.0 0.17308625701401 22.76949711019302
16 3 1754.0 151660000000000.0 85.602 35361000900000.0 0.18907502756285377 16.185200509435408
17 3 1757.4 92734000000.0 0.026122000000000003 102020760000000.0 0.999091853619268 0.026098277400242523
18 3 1759.1 5495800000000.0 3.093 99767686000000.0 0.9477900627383744 2.931514664049792
19 3 1774.2 20910000000000.0 5.8341 31973827000000.0 0.604605014686248 3.52732611618104
