BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 3235.2 38999000000000.0 17.902 88220542840000.0 0.6934511858052516 12.414163128285614
36 15 3239.2 9141900000000.0 2.7942 89023488200000.0 0.9068724713707188 2.5339830595040627
37 15 3240.5 16555000000000.0 2.5288 89494842560000.0 0.8438941576869041 2.134039545958643
38 15 3254.4 12992000000000.0 3.9525 223147290200000.0 0.9449816250866329 3.7350398731549164
39 15 3255.4 123320000000.0 0.05625700000000001 172733907110000.0 0.9992865788601276 0.056216865066934206
40 15 3259.9 16739000000000.0 5.0838 307366765500000.0 0.9483532791396764 4.821238400490287
41 15 3260.5 8771200000000.0 1.3317 319829167440000.0 0.9733073944246227 1.2961534571552702
42 15 3268.5 76783000000.0 0.011629 217830148420000.0 0.9996476339715326 0.011624902335454953
43 15 3304.7 0.0 0.0 172986892160000.0 1.0 0.0
44 15 3307.9 98813000000.0 0.029574 174269991600000.0 0.9994333103319331 0.029557240719756586
45 15 3310.5 49476000000.0 0.007398100000000001 173744529160000.0 0.9997153181437158 0.007395993895159025
46 15 3332.5 122480000000.0 0.036388 329682582420000.0 0.999628629108658 0.03637448655600584
47 15 3334.4 219110000000.0 0.032527999999999994 352402353300000.0 0.99937862545873 0.03250778792892157
48 15 3347.4 77228000000.0 0.022841 200609567250000.0 0.9996151814577346 0.022832210359676117
49 15 3349.7 39577000000.0 0.0058484999999999995 178490641690000.0 0.9997783176411792 0.005847203490724436
50 15 3417.5 3159700000.0 0.00045768 259117659380000.0 0.9999878060743586 0.00045767441908411245
