BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 2953.3 149110000000000.0 24.991999999999997 9449733000000.0 0.059597306461155554 1.4894558830771993
5 3 2962.4 28121000000.0 0.0046991 667121600000.0 0.9595522483806372 0.004509031970365453
6 3 2964.0 196260000000.0 0.065553 1933849000000.0 0.9078638698770815 0.05951320026205232
7 3 2968.2 0.0 0.0 1105721260.0 1.0 0.0
8 3 2994.8 20917000000000.0 3.4574 164133600000000.0 0.88696605144755 3.066596426274759
9 3 2998.1 559590000000.0 0.18479 205246500000000.0 0.9972809842507576 0.18428755307969752
10 3 3005.5 35976000000.0 0.0059255 1967179720000.0 0.9820403378325475 0.005819080021826761
11 3 3008.4 299620000000.0 0.098603 1488259377000.0 0.8324159874237422 0.08207871360794325
12 3 3010.1 99102000000000.0 16.298 46797730000000.0 0.3207526840522597 5.227627244683728
13 3 3011.2 5688400000000.0 2.8053 3470295538100.0 0.37890718428881454 1.0629483240854114
14 3 3011.5 112640000000000.0 37.031 4345589000000.0 0.03714636167707802 1.3755669192638762
15 3 3029.4 144850000000000.0 47.338 130307106000000.0 0.47357347187682663 22.41802101170522
16 3 3030.3 157280000000000.0 77.078 99119680000000.0 0.3865826977631173 29.79702117818556
17 3 3032.4 427270000000.0 0.069748 312054670000000.0 0.9986326569785121 0.06965263055893726
18 3 3039.0 19593000000000.0 6.3829 289609600000000.0 0.9366337799229373 5.978439753870116
19 3 3057.4 23431000000000.0 3.7937 102940640000000.0 0.814586563884112 3.0902970474071556
