BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 8262.1 50120000000000.0 3.7536 273794119480000.0 0.8452676280970375 3.17279656882504
36 20 8289.1 143130000000000.0 6.4106 1405772484000000.0 0.9075926331847758 5.818213334294323
37 20 8309.8 115640000000000.0 8.6109 618932393600000.0 0.8425750804038928 7.255329759849881
38 20 8321.2 48154000000000.0 5.0131 696848827800000.0 0.9353640037284164 4.689073287090924
39 20 8330.9 33586000000000.0 1.4967 1953088423200000.0 0.9830943613066192 1.471397330567617
40 20 8340.7 53803000000000.0 0.7982899999999999 725442167000000.0 0.9309549776136116 0.7431720490791699
41 20 8342.0 50961000000000.0 3.78 1583241407000000.0 0.968815980332845 3.6621244056581537
42 20 8344.8 51166000000000.0 2.2764 1191683188900000.0 0.9588316905566916 2.182684460383253
43 20 8380.4 2309600000000.0 0.17053 1088265037000000.0 0.9978822173910505 0.17016885453169583
44 20 8381.2 0.0 0.0 750155748600000.0 1.0 0.0
45 20 8396.5 5056500000000.0 0.22358000000000003 1918869717000000.0 0.9973717807079501 0.2229923827306835
46 20 8407.0 1610700000.0 0.00011855 942859153000000.0 0.9999982916883786 0.00011854979747965728
47 20 8415.0 50710000000.0 0.0022373000000000002 852843141800000.0 0.9999405435976669 0.0022371669781910603
48 20 8446.8 9229200000.0 0.00067608 2215860360000000.0 0.9999958349534445 0.0006760771840953248
49 20 8447.3 46083000000.0 0.0020254 1965368395000000.0 0.9999765530372775 0.002025352510521702
50 20 8463.5 23394000000.0 0.0017104 1205785950000000.0 0.9999805989229422 0.0017103668163978003
51 20 8468.6 0.0 0.0 1346830805000000.0 1.0 0.0
52 20 8471.9 1098900000000.0 0.016052 2241679079000000.0 0.9995100272919168 0.01604413495808985
53 20 8476.4 68307000000.0 0.0029918 1940128352900000.0 0.9999647937750787 0.0029916946700162808
54 20 8495.4 30471000000.0 0.0022194000000000003 1515717503300000.0 0.9999798970537869 0.002219355383521175
55 20 8502.5 608010000000.0 0.026549 1629186213000000.0 0.9996269406337195 0.026539095646884617
56 20 8508.0 1257100000000.0 0.018286 1553674026000000.0 0.999191539754411 0.01827121649594916
57 20 8519.3 251080000000.0 0.010942 1633696563900000.0 0.9998463353456046 0.010940318601351607
58 20 8519.6 509490000000.0 0.037004 1209859664700000.0 0.9995790623067172 0.036988423621597766
59 20 8554.2 90488000000.0 0.003927300000000001 1935801550200000.0 0.9999532577239771 0.003927116429059376
60 20 8578.1 46764000000.0 0.00067465 1220228983000000.0 0.999961677514189 0.0006746241457349475
61 20 8608.4 45754000.0 3.2887999999999998e-06 1386136600000000.0 0.9999999669917102 3.288799891442336e-06
62 20 8624.0 1275000000.0 5.489e-05 1966164288100000.0 0.999999351529686 5.488996440546446e-05
63 20 8661.2 20695000000.0 0.00029569 1397755000000000.0 0.9999851943340594 0.000295685622112638
64 20 8669.2 19692000000.0 0.00084331 2261343754000000.0 0.9999912919791665 0.0008433026564389509
