BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 1296.1 143760000000000.0 54.907 2015551000000.0 0.013826399462554595 0.759166115290485
5 3 1301.8 1612200000.0 0.00061302 11562600000.0 0.8776300209490846 0.0005380047554422078
6 3 1302.1 12267000000.0 0.009327 30228860000.0 0.7113365866698544 0.006634636343869732
7 3 1302.8 0.0 0.0 36551958.7 1.0 0.0
8 3 1322.1 8779200000000.0 3.2872 34230180000000.0 0.795877085417181 2.6162071551833574
9 3 1322.6 3438600000000.0 2.574 36353230000000.0 0.913585276173526 2.351568500870656
10 3 1327.7 1210300000.0 0.00045126 24515321900.0 0.9529535182976471 0.0004300298046669962
11 3 1328.2 22995000000.0 0.017141 28120318900.0 0.5501348618212377 0.009429861666477836
12 3 1328.6 352920000000.0 0.39446 40791578960.0 0.10360777061155296 0.04086912119543318
13 3 1331.2 101430000000000.0 37.716 4498752000000.0 0.04246960258721825 1.6017835311795234
14 3 1331.4 104050000000000.0 77.37 2349191000000.0 0.02207903065729137 1.7082546019546334
15 3 1341.4 151850000000000.0 168.11 18488280000000.0 0.1085386091722894 18.24642558795357
16 3 1341.6 150380000000000.0 110.98 19255884000000.0 0.11351303477747668 12.597676599604362
17 3 1344.7 40757000000.0 0.015003 58301290000000.0 0.9993014129243699 0.014992519098104323
18 3 1345.7 2500000000000.0 1.8392 57696298000000.0 0.9584692068605282 1.7628165652578833
19 3 1359.1 19727000000000.0 7.1854 18136993000000.0 0.4790037067670069 3.441833234603651
