BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 1341.9 61929000000000.0 5.7113 956318300000.0 0.015207338149070004 0.08685367037078351
14 10 1342.1 61205000000000.0 16.930999999999997 1076132020300.0 0.01727862011161332 0.2925443171097251
15 10 1342.8 60178000000000.0 27.73 987493601000.0 0.016144619177631478 0.4476902897957209
16 10 1346.0 37538000000.0 0.010354 16269723768.0 0.3023678131814186 0.0031307163376804083
17 10 1346.4 14320000000.0 0.006581 11031381200.0 0.43513925781684826 0.0028636514556926785
18 10 1346.9 95297000000.0 0.06129299999999999 11188307950.0 0.10506902938434898 0.006439996018054901
19 10 1353.0 953870000000.0 0.26174000000000003 37065224000000.0 0.9749107645752947 0.25517314351993764
20 10 1369.4 133920000000000.0 84.71799999999999 17177070000000.0 0.11368235002836256 9.630941329702818
21 10 1369.4 121470000000000.0 54.885 20803035395000.0 0.14621910144282405 8.025235382689397
22 10 1369.5 90110000000000.0 24.429000000000002 29081587000000.0 0.24399026585659941 5.960438204610868
23 10 1369.5 84806000000.0 0.0076635 52276880000000.0 0.9983803806470251 0.007651088047088477
24 10 1370.0 44595000000000.0 12.085 40579118000000.0 0.4764254559113838 5.757601634689074
25 10 1370.5 12973000000000.0 5.8572 49105369806000.0 0.7910222185192413 4.6331753383109
26 10 1380.2 52730000000000.0 14.184000000000001 18455432320000.0 0.2592585549953151 3.6773233440535495
27 10 1382.5 6445100000.0 0.0028846999999999996 12328398550.0 0.6566915866621994 0.0018943582200444463
28 10 1384.2 123320000000000.0 55.123999999999995 16555203470000.0 0.11835695719685375 6.524308908519366
29 10 1384.7 282370000000.0 0.025237 2514860800000.0 0.8990537355730531 0.02268941912465714
30 10 1385.1 532360000000.0 0.1427 2506066020000.0 0.8247908632641318 0.1176976561877916
31 10 1385.6 11595000000000.0 5.1783 3138141500000.0 0.21299880273327992 1.1029717001937434
32 10 1393.9 50339000000.0 0.013406999999999999 54032140000000.0 0.9990692179624384 0.01339452100522241
33 10 1395.2 55174000000000.0 4.8939 19060930000000.0 0.25676497573312185 1.256582114740325
35 10 1398.5 15017000000.0 0.0066443 17016969240000.0 0.9991183060044557 0.006638441760585405
36 10 1398.5 8478500000.0 0.0022508000000000003 17059058950000.0 0.9995032382366327 0.002249681888623013
37 10 1403.2 17643000000.0 0.0046677 72872205180000.0 0.9997579498319652 0.004666570182430664
38 10 1408.4 979900000000.0 0.4305 41279930000000.0 0.9768124954596362 0.4205177792953734
39 10 1409.2 2842100000000.0 0.74879 17272200700000.0 0.858702520043364 0.6429878599832705
40 10 1409.3 2858600000000.0 0.25101999999999997 16992430000000.0 0.8559973966086395 0.21487246649670066
41 10 1409.5 1885700000000.0 0.8278200000000001 29236833000000.0 0.9394104586538634 0.7776627658828413
42 10 1419.6 115610000000.0 0.030235 53563973598000.0 0.997846294768868 0.030169882722336724
