BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 3544.2 39837000000000.0 16.692 108635201270000.0 0.7316871464203893 12.213321848049139
36 15 3549.1 10041000000000.0 2.801 110469922470000.0 0.9166797515594521 2.5676199841180254
37 15 3550.7 17367000000000.0 2.4212 110879500120000.0 0.8645810998058447 2.093323758849911
38 15 3564.7 14804000000000.0 4.1116 280733538800000.0 0.9499082246535918 3.9056426564857083
39 15 3566.2 149190000000.0 0.062124 210905245200000.0 0.9992931207540906 0.06208008583372712
40 15 3571.2 14843000000000.0 4.1149 366890414900000.0 0.9611168437955888 3.954899700534468
41 15 3571.5 8994600000000.0 1.2467 383479609750000.0 0.9770823157890313 1.2181285230941852
42 15 3580.9 87186000000.0 0.012052 272702554340000.0 0.9996803912057274 0.012048148074811426
43 15 3618.7 0.0 0.0 211858990260000.0 1.0 0.0
44 15 3622.5 96383000000.0 0.026341000000000003 213987800890000.0 0.9995497892546349 0.026329140998756342
45 15 3625.6 50523000000.0 0.0068980000000000005 213176315100000.0 0.9997630551554851 0.006896365554462537
46 15 3648.3 129540000000.0 0.035151999999999996 400845185500000.0 0.9996769372437665 0.03514064369799288
47 15 3650.6 206160000000.0 0.027956 432209865600000.0 0.999523236911227 0.027942671611090264
48 15 3664.0 84317000000.0 0.022783 247369113580000.0 0.999659261139349 0.02277523694653779
49 15 3666.9 35665000000.0 0.0048146000000000005 216970982660000.0 0.9998356501960444 0.0048138087214338755
50 15 3738.8 3831500000.0 0.00050729 317272047900000.0 0.9999879237589469 0.0005072838738436761
