BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 3320.8 72374000000000.0 2.6971 5025392000000.0 0.06492805524880609 0.17511745781155488
14 10 3322.0 68453000000000.0 7.6503 14289737220000.0 0.1727008037213686 1.321212958709586
15 10 3328.0 67199000000000.0 12.494000000000002 5814926453000.0 0.07964133331116144 0.9950388183896511
16 10 3331.8 715410000000.0 0.07971900000000001 2002085404000.0 0.7367392051714395 0.058732112697061994
17 10 3335.1 279880000000.0 0.051926 1040786558600.0 0.7880767115836622 0.04092167132569324
18 10 3338.4 2129700000000.0 0.5526399999999999 1581744489800.0 0.42618029022043546 0.23552427558742142
19 10 3343.8 3302600000000.0 0.36669 242850058700000.0 0.986583122776565 0.36177016529093864
20 10 3370.9 1396700000000.0 0.051276 342081729240000.0 0.9959336602211369 0.05106749436149902
21 10 3372.1 57275000000000.0 6.3058 271845454940000.0 0.8259755687003973 5.208436741110965
22 10 3372.7 124810000000000.0 22.897 167398237600000.0 0.5728730954845607 13.117075267309986
23 10 3373.9 149860000000000.0 38.479 117449700000000.0 0.439376872593849 16.906782680538715
24 10 3375.5 97259000000000.0 10.697000000000001 199926228690000.0 0.672732724877612 7.196221958015816
25 10 3379.1 29715000000000.0 5.4413 305639939000000.0 0.9113923889458506 4.959159405971057
26 10 3390.9 45630000000000.0 4.996 101830230000000.0 0.6905606345521094 3.4500409302223387
27 10 3394.6 2764700000000.0 0.10079 34840821000000.0 0.9264815397717798 0.09338007439359769
28 10 3397.7 101080000000000.0 18.407 96114328540000.0 0.487409193010861 8.971741015750919
29 10 3399.4 13078000000000.0 1.4283 49871978640000.0 0.7922477452329124 1.1315674545161687
30 10 3399.4 121560000000.0 0.022127 1823858990300.0 0.9375147458690868 0.020744388781845285
31 10 3403.7 50523000000000.0 9.1849 41707633100000.0 0.45221020064753303 4.153505471927526
32 10 3414.8 1176500000000.0 0.12792 358938836300000.0 0.9967329911242105 0.127502084224609
33 10 3419.2 58673000000000.0 2.1236 121643523880000.0 0.674611074251594 1.432604077280685
34 10 3425.4 173210000000.0 0.018772999999999998 129871040560000.0 0.9986680687592561 0.018747995654817513
35 10 3425.6 256670000000.0 0.046362 118966511000000.0 0.997847146856449 0.04626218942255869
37 10 3433.7 178540000000.0 0.019303999999999998 459555555400000.0 0.9996116450753024 0.019296503196533636
38 10 3440.9 1084500000000.0 0.19502 262398143000000.0 0.9958839793481197 0.19421729365247029
39 10 3444.1 2690500000000.0 0.096675 117489400000000.0 0.9776127289172316 0.09451071056807336
40 10 3444.7 2414900000000.0 0.26027 144387688000000.0 0.9835500175242142 0.25598856306102724
41 10 3448.3 1498800000000.0 0.26895 217721274000000.0 0.9931630348779099 0.2671111982304139
42 10 3462.5 107260000000.0 0.011501 362019491500000.0 0.9997038053677181 0.011497593465534127
