BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 3786.0 3410900000000.0 0.55747 5083357677500.0 0.5984463705363028 0.33361589818287274
36 20 3810.4 138500000000000.0 13.494000000000002 170974307400000.0 0.5524668875953351 7.454988181211453
37 20 3810.9 126780000000000.0 20.585 136437141600000.0 0.518344439008223 10.670120276984271
38 20 3812.5 43228000000000.0 9.8221 132759241960000.0 0.7543685580922663 7.40948341443805
39 20 3818.6 8527200000000.0 0.82906 399921103540000.0 0.9791229393632065 0.81175166410846
40 20 3822.0 53581000000000.0 1.7349 140543556000000.0 0.7239864904056754 1.2560441622048064
41 20 3822.6 39151000000000.0 6.3374 185554953020000.0 0.8257678558408492 5.233221209605798
42 20 3824.1 35125000000000.0 3.4101 263875165900000.0 0.8825251487929024 3.0094990098986765
43 20 3832.1 27148000000000.0 4.3835 356996129700000.0 0.9293286089749662 4.0737119574417635
44 20 3840.7 27820000000000.0 2.6893 412324528330000.0 0.936793488935203 2.5193187297934414
45 20 3845.9 0.0 0.0 134161845990000.0 1.0 0.0
46 20 3851.4 126570000.0 2.0336e-05 134893779760000.0 0.9999990617070597 2.0335980918874763e-05
47 20 3853.9 4471100000.0 0.00043072 135548358390000.0 0.9999670158120872 0.0004307057930505822
48 20 3884.2 64998000000.0 0.010354 449691790150000.0 0.9998554818921859 0.010352503659511693
49 20 3886.4 134730000000.0 0.01287 347621794930000.0 0.9996125737683078 0.01286501382439812
50 20 3887.4 0.0 0.0 265974269600000.0 1.0 0.0
51 20 3889.2 43376000000.0 0.0069012 340091221400000.0 0.999872474013724 0.006900319917663512
52 20 3891.2 34058000000.0 0.0032494 453033794000000.0 0.9999248280365741 0.003249155736222044
53 20 3892.1 268210000000.0 0.0085279 535136856600000.0 0.9994990521817374 0.008523627967100638
54 20 3905.6 749890000000.0 0.071284 270592362300000.0 0.9972363684842901 0.07108699729103414
55 20 3909.6 124180000.0 1.9654000000000002e-05 217251424310000.0 0.9999994284045345 1.9653988765862724e-05
56 20 3915.3 756570000000.0 0.11957000000000001 217333170000000.0 0.9965309234629744 0.11915520251846787
57 20 3916.4 2316600000000.0 0.0732 172840375000000.0 0.9867741493023615 0.07223186772893286
58 20 3917.4 478760000000.0 0.045373000000000004 180242171900000.0 0.997350832607122 0.045252799327882946
59 20 3929.0 270890000000.0 0.025596999999999998 522957496320000.0 0.999482271973229 0.02558374771569874
60 20 3934.2 656090000000.0 0.020638 257669034500000.0 0.9974602160696917 0.020585583939246296
61 20 3972.3 19839000.0 3.0904e-06 264044958040000.0 0.9999999248650735 3.0903997678030234e-06
62 20 3977.5 20691000000.0 0.0019313 282595658000000.0 0.9999267876749763 0.0019311586050366817
63 20 3982.3 52019000000.0 0.0016166 264894025430000.0 0.9998036619111944 0.0016162825998456368
64 20 3993.3 31583000000.0 0.0029363 525576172250000.0 0.9999399114649955 0.0029361235620346663
