BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 3551.7 150180000000000.0 20.932 13094162000000.0 0.08019739216300495 1.6786918127560195
5 3 3561.7 47551000000.0 0.0066086 1578926000000.0 0.9707644190480407 0.006415393739720882
6 3 3564.1 354740000000.0 0.09854 4760491000000.0 0.9306502482488083 0.09170627546243756
7 3 3570.5 0.0 0.0 2364465890.0 1.0 0.0
8 3 3597.9 27109000000000.0 3.7298 224073200000000.0 0.8920743587722378 3.3272589433486925
9 3 3602.9 110780000000.0 0.030442 300386400000000.0 0.9996313442941461 0.030430777383002396
10 3 3610.7 78205000000.0 0.010722 5319861940000.0 0.9855124064096915 0.010566664021524712
11 3 3615.1 476860000000.0 0.13059 3396143580000.0 0.8768759206775636 0.11451122648128303
12 3 3615.9 95581000000000.0 13.085 82864740000000.0 0.46436939318360865 6.076273509807519
13 3 3617.9 114130000000000.0 31.232 3252427000000.0 0.027707954956494467 0.8653748492012352
14 3 3619.2 10318000000000.0 4.2339 9126601025000.0 0.46936427305789885 1.987241395699838
15 3 3638.3 140220000000000.0 38.155 203499830000000.0 0.5920514681972233 22.589723769065056
16 3 3640.4 154490000000000.0 63.02 140778500000000.0 0.476781302441676 30.04675767987442
17 3 3640.7 654930000000.0 0.089048 449287000000000.0 0.9985444121644764 0.0889183828144223
18 3 3650.9 26287000000000.0 7.1282 407829110000000.0 0.9394470755761632 6.696566644122006
19 3 3670.2 24336000000000.0 3.2822 153448880000000.0 0.8631154685370319 2.8329175908322464
