BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 6326.8 14961000000000.0 1.1705 121986745080000.0 0.8907539515071218 1.0426275002390861
26 15 6345.8 1127200000000.0 0.17585 34007182290000.0 0.9679174664095112 0.17020828646811254
27 15 6354.2 36279000000000.0 8.4789 108419950110000.0 0.7492794524602926 6.353065549465574
28 15 6371.5 9241100000000.0 0.71797 1109538758600000.0 0.991740019335382 0.7120395816822243
29 15 6372.6 0.0 0.0 33102761820000.0 1.0 0.0
30 15 6374.3 111890000000000.0 17.379 681598596600000.0 0.8589897819837176 14.92838342109503
31 15 6387.9 112370000000000.0 26.124000000000002 331594595100000.0 0.7468942315666198 19.511864905446377
32 15 6404.9 39052000000000.0 6.0364 1042243762000000.0 0.9638840718955856 5.818389811590513
33 15 6411.6 71419000000000.0 5.514 551638955010000.0 0.8853734240519348 4.881949060222368
34 15 6424.3 30847000000.0 0.0047537 722557503630000.0 0.9999573104105912 0.004753497066498827
35 15 6429.3 11498.0 2.6559e-09 425065913800000.0 0.9999999999729501 2.655899999928158e-09
36 15 6429.9 127370000000.0 0.009806 490944320970000.0 0.9997406285022287 0.009803456603092855
38 15 6439.5 152920000000.0 0.023511 1293416792000000.0 0.9998817844924928 0.023508220635202998
39 15 6457.2 655780000.0 5.0273000000000005e-05 448945345800000.0 0.9999985392898084 5.027292656571654e-05
40 15 6457.9 137140000000.0 0.021024 526543990600000.0 0.9997396147459398 0.02101852566041864
41 15 6459.6 76885.0 1.7676000000000002e-08 575914741400000.0 0.9999999998664993 1.7675999997640245e-08
42 15 6473.4 609770000000.0 0.093257 859969635000000.0 0.9992914424904231 0.0931909220523294
43 15 6485.0 1134900.0 2.5988e-07 1011196666000000.0 0.9999999988776664 2.59879999708328e-07
44 15 6485.7 194470000000.0 0.029685000000000003 448629159400000.0 0.9995667117610096 0.029672137838625573
45 15 6491.7 923900000.0 0.0001409 874997434200000.0 0.9999989441123044 0.0001408998512254237
46 15 6493.4 4326600000.0 0.00032984 1349349095700000.0 0.9999967935754055 0.00032983894239291175
47 15 6503.4 153590.0 3.5072e-08 533353353900000.0 0.9999999997120296 3.50719999899003e-08
48 15 6510.9 1609900000000.0 0.1224 799418667290000.0 0.9979902090065944 0.12215400158240715
49 15 6516.6 106470000000.0 0.016175 943831224800000.0 0.999887206538539 0.016173175565760867
50 15 6533.7 1503500000000.0 0.22782 412230800500000.0 0.996366025252963 0.22699210787313004
51 15 6537.2 674900000000.0 0.051105000000000005 1260238077500000.0 0.9994647529115466 0.05107764619754459
52 15 6544.1 867090000.0 0.00019677 456204650000000.0 0.9999980993434592 0.00019676962600781247
53 15 6560.9 184980000.0 2.7914e-05 667097363500000.0 0.9999997227092193 2.791399225970515e-05
54 15 6566.1 51671000000.0 0.0038954999999999997 498786642360000.0 0.9998964173388127 0.0038950964937433446
55 15 6581.1 105740000.0 1.5907000000000002e-05 1054627734700000.0 0.9999998997371433 1.590699840511874e-05
56 15 6590.0 1696100000.0 0.00038221 806802276000000.0 0.9999978977545244 0.0003822091965007568
57 15 6598.3 30780000000.0 0.0023092 1507756813000000.0 0.9999795859840319 0.0023091528599543266
58 15 6600.5 2745100000.0 0.00041174 1281686037000000.0 0.9999978582164107 0.00041173911814202497
59 15 6638.4 93534000000.0 0.0069747 1000897047300000.0 0.9999065585613418 0.006974048273997791
