BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 6088.9 153630000000000.0 12.49 32520190000000.0 0.1746986667056316 2.1819863471533387
5 3 6102.8 161640000000.0 0.013111000000000001 16541040000000.0 0.9903225111179763 0.012984118443267788
6 3 6108.8 1742400000000.0 0.28239000000000003 56257240000000.0 0.9699584342247641 0.2739065622407312
7 3 6131.1 0.0 0.0 21716006100.0 1.0 0.0
8 3 6152.4 54987000000000.0 4.4243 493781500000000.0 0.8997992778375581 3.980981944936708
9 3 6171.1 1215800000000.0 0.19505999999999998 863935700000000.0 0.9985946969981558 0.19478588159646026
10 3 6175.0 609120000000.0 0.04883 85219016790000.0 0.9929030266439273 0.048483454791022965
11 3 6188.0 77820000000000.0 6.2253 412549500000000.0 0.8413033437030647 5.237365705554689
12 3 6192.4 1347900000000.0 0.2155 30893643900000.0 0.9581936893536913 0.20649074005572046
13 3 6193.1 115160000000000.0 18.41 2217997000000.0 0.01889619056968573 0.34787886838791426
14 3 6201.3 42910000000000.0 10.276 111878055230000.0 0.7227822267277672 7.427310161854535
15 3 6221.0 1437900000000.0 0.11441 1241015100000000.0 0.9988426926410898 0.11427759246506708
16 3 6222.5 128090000000000.0 20.379 713326700000000.0 0.8477686501824839 17.276677322068842
17 3 6237.3 126160000000000.0 30.038 338650700000000.0 0.7285776768908289 21.88501625844672
18 3 6255.7 43555000000000.0 6.8931 1097386413000000.0 0.9618253842802706 6.629958556382333
19 3 6276.8 27281000000000.0 2.1515 494815093000000.0 0.9477471669185619 2.0390780296252857
