BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 1231.3 47391000000.0 0.023815 10073489666.0 0.17529938444681217 0.004174754840600832
36 20 1244.3 31900000000000.0 22.209 10691293280000.0 0.25102063019580606 5.574917176018657
37 20 1244.4 66202000000000.0 32.92 10704735380000.0 0.13919112971194747 4.582171990117311
38 20 1244.4 80735000000000.0 24.088 10733024294000.0 0.11734181837689535 2.826529721062655
39 20 1247.4 8623800000000.0 2.5666 37828153530000.0 0.8143501113590302 2.0901109958140873
40 20 1247.9 36117000000000.0 17.909000000000002 11784362940000.0 0.24601310310858557 4.40584866357166
41 20 1248.0 42017000000000.0 4.1664 11688412400000.0 0.21763937520755358 0.9067726928647513
42 20 1248.1 28231000000000.0 8.3979 20067088411000.0 0.41548411275071656 3.4891940304692426
43 20 1252.5 42679000000000.0 21.084 33671173100000.0 0.44100978076237 9.298250217593809
44 20 1256.1 38094000000000.0 11.26 34848242083000.0 0.47775117802585026 5.379478264571074
45 20 1259.4 0.0 0.0 10722018120000.0 1.0 0.0
46 20 1259.8 1425300.0 7.0005e-07 10721457438000.0 0.9999998670610019 7.000499069360544e-07
47 20 1260.0 84611000.0 2.493e-05 10722166143000.0 0.9999921088396512 2.4929803273372502e-05
48 20 1278.0 44890000000.0 0.021734 43629415400000.0 0.9989721645349854 0.021711661024003372
49 20 1278.4 88299000000.0 0.025643 43652652600000.0 0.9979813196382312 0.025591234979483162
50 20 1278.6 126330000000.0 0.012228 44513899100000.0 0.9971700414055447 0.012193395266307
51 20 1278.9 0.0 0.0 21692844000000.0 1.0 0.0
52 20 1279.1 96570000000.0 0.046717 22431522767000.0 0.9957133521688325 0.04651674067327135
53 20 1279.1 175780000000.0 0.051018 22515859355000.0 0.9922535345617827 0.05062279082627303
54 20 1288.0 391540000000.0 0.11285999999999999 22633878075000.0 0.9829953141904026 0.11094085115952883
55 20 1291.0 360190000000.0 0.17264000000000002 22301824099000.0 0.9841060022985383 0.16989606023681966
56 20 1293.0 344430000000.0 0.16482 12528551060000.0 0.9732439597017476 0.16041006943804204
57 20 1293.5 736890000000.0 0.21151 12394255459000.0 0.9438822757465579 0.19964054014315447
58 20 1293.6 1275900000000.0 0.12205999999999999 12359816550000.0 0.9064295598019013 0.11063879206942007
59 20 1299.8 249980000000.0 0.071404 45366377370000.0 0.9945199482288254 0.07101270238333104
60 20 1300.1 1556600000000.0 0.14817 23289940000000.0 0.9373514380674332 0.13888736257845158
61 20 1320.8 27962000.0 1.31e-05 21427094525000.0 0.9999986950184274 1.30999829047414e-05
62 20 1321.2 44124000000.0 0.012399 21454530787000.0 0.9979475925151056 0.012373552199594795
63 20 1321.6 69844000000.0 0.0065404 21433156421000.0 0.9967518951480003 0.006519156095025982
64 20 1329.1 26259000000.0 0.0073354 44887051927000.0 0.9994153403644037 0.007331111287709047
