BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 2160.1 147210000000000.0 33.735 5335702000000.0 0.03497772752719051 1.1799736381297716
5 3 2167.7 10452000000.0 0.0023867 147850400000.0 0.933974469117335 0.0022291168654423434
6 3 2168.6 69954000000.0 0.031937 406322700000.0 0.8531231949830844 0.027246195478174768
7 3 2170.6 0.0 0.0 304062854.0 1.0 0.0
8 3 2194.8 14026000000000.0 3.1634 92944140000000.0 0.8688792965962276 2.748612766852507
9 3 2196.4 1694500000000.0 0.76379 106656600000000.0 0.9843610263301434 0.7518451083007003
10 3 2202.9 9611800000.0 0.0021599 365312230000.0 0.9743633396877762 0.002104527377391628
11 3 2204.3 123330000000.0 0.055393 345425129000.0 0.7368988788173878 0.04081903959433156
12 3 2205.8 2000700000000.0 1.347 649533171700.0 0.24508529235688156 0.33012988880471944
13 3 2207.0 101990000000000.0 22.875 18276310000000.0 0.15196533426526515 3.4762070213179403
14 3 2207.7 109530000000000.0 49.12 4275930000000.0 0.0375721194844592 1.845542509076636
15 3 2222.1 150350000000000.0 66.988 61572094960000.0 0.29054117727376017 19.462772383214645
16 3 2222.2 157400000000000.0 105.19 53110390000000.0 0.2522934378678411 26.538746729318202
17 3 2225.5 185760000000.0 0.041318 166260910000000.0 0.998883966858574 0.04127188774266256
18 3 2228.6 10180000000000.0 4.5221 159693940000000.0 0.9400732095811754 4.251105061047033
19 3 2245.1 21975000000000.0 4.845 52858521000000.0 0.7063481751713915 3.4222569087053913
