BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 7916.9 45739000000000.0 8.5797 682327550600000.0 0.9371774462618747 8.040701335693008
36 15 7937.5 36028000000000.0 4.4937 1262511306200000.0 0.9722549792463109 4.369022200239147
37 15 7940.9 33836000000000.0 2.1092 888913746000000.0 0.9633313364249899 2.0318584547875886
38 15 7964.5 6086600000000.0 0.7566 1255991822000000.0 0.9951773202885803 0.75295116053034
39 15 7976.1 172000000000.0 0.032025 1129431114500000.0 0.9998477341308711 0.03202012368554115
40 15 7981.1 3686900000000.0 0.22866999999999998 1883180761600000.0 0.9980460208868737 0.2282231835962014
41 15 7988.2 2645900000000.0 0.32793 1762020937000000.0 0.9985006234919118 0.32743830946170266
42 15 8029.1 15656000000.0 0.00096526 1543569471000000.0 0.9999898573783031 0.0009652502097329809
43 15 8065.1 24401.0 4.4931000000000005e-09 1202952227000000.0 0.9999999999797158 4.493099999908862e-09
44 15 8082.2 58398000000.0 0.0071536 1347059540000000.0 0.999956649675316 0.007153289889117341
45 15 8099.3 88168000000.0 0.0053887 1427520162000000.0 0.9999382407638375 0.005388367198004091
46 15 8120.1 224720000000.0 0.027398000000000002 1890111941000000.0 0.9998811217045956 0.027394742972462513
47 15 8131.1 65958000000.0 0.0040155 2169179237000000.0 0.9999695940319923 0.004015377904835465
48 15 8152.6 59858000000.0 0.007268999999999999 1634988278800000.0 0.9999633906802786 0.007268733886854945
49 15 8171.2 7182400000.0 0.00043511 1279220105900000.0 0.9999943853605487 0.00043510755701422837
50 15 8288.8 7125700000.0 0.00042555 1801632600000000.0 0.9999960448807281 0.00042554831689899385
