BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 7389.8 155330000000000.0 10.405 44724990000000.0 0.22356348122083833 2.3261780221028228
5 3 7405.5 217410000000.0 0.014533 35569870000000.0 0.99392493645787 0.014444711101542225
6 3 7413.4 2829300000000.0 0.37784 124042700000000.0 0.9776995712213885 0.36941400599028945
7 3 7448.5 0.0 0.0 48162118000.0 1.0 0.0
8 3 7460.9 67173000000000.0 4.4567 637716700000000.0 0.9047042395427256 4.031995384370065
9 3 7488.5 1075800000000.0 0.071114 201963200000000.0 0.9947015105472348 0.07073720322105605
10 3 7491.1 2508000000000.0 0.33145 1224721000000000.0 0.9979563716307226 0.330772639377003
11 3 7510.3 70598000000000.0 4.6532 691794900000000.0 0.9073994524345649 4.222311132068517
12 3 7517.1 114140000000000.0 15.032 15490800000000.0 0.11949937823418509 1.7963146536162702
13 3 7517.5 1700700000000.0 0.22398 62867280500000.0 0.973660319142241 0.21808043828147916
14 3 7528.2 59189000000000.0 11.675999999999998 227090918500000.0 0.7932478103594263 9.26196143375666
15 3 7546.6 1540900000000.0 0.10107000000000001 1748221800000000.0 0.999119366300356 0.100980994351977
16 3 7550.3 125850000000000.0 16.502 1091986000000000.0 0.8966609625598192 14.796699204162135
17 3 7577.2 111020000000000.0 21.758000000000003 440013500000000.0 0.7985240461786806 17.374286196755733
18 3 7598.9 47493000000000.0 6.1876 1570661914000000.0 0.9706499052784757 6.005993353901096
19 3 7620.5 28482000000000.0 1.8501 744371869000000.0 0.9631469788242724 1.7819182255227863
